x,y,z,value
0.015,0,0,2.01609883928028e-08
0.015,0.001,0,-2.439853339855e-07
0.015,0,0.001,-2.1618369135067e-08
0.015,0.001,0.001,-4.63162635252175e-07
0.015,0.002,0,-4.66817749578724e-07
0.015,0.002,0.001,-3.73511652042422e-07
0.015,0.003,0,-2.12201981421734e-07
0.015,0.003,0.001,-5.19281760330047e-08
0.015,0.004,0,1.51437219993116e-07
0.015,0.004,0.001,5.87763422283546e-07
0.015,0.005,0,7.63755089886287e-07
0.015,0.005,0.001,9.12143807563467e-07
0.015,0.006,0,9.98718808524628e-07
0.015,0.006,0.001,9.24533587693449e-07
0.015,0.007,0,9.95774217040351e-07
0.015,0.007,0.001,2.93465095945547e-07
0.015,0.008,0,4.10117187534156e-07
0.015,0.008,0.001,-4.83911490123113e-07
0.015,0.009,0,-2.37423359281366e-07
0.015,0.009,0.001,-1.27381174072245e-06
0.015,0.01,0,-9.56670895059778e-07
0.015,0.01,0.001,-1.54251042535407e-06
0.015,0.011,0,-1.21985491892073e-06
0.015,0.011,0.001,-1.35760910830512e-06
0.015,0.012,0,-1.17494464424913e-06
0.015,0.012,0.001,-7.26934254967801e-07
0.015,0.013,0,-6.7743514353116e-07
0.015,0.013,0.001,3.70937977776773e-08
0.015,0.014,0,-2.45707573981024e-09
0.015,0.014,0.001,6.63624888733386e-07
0.015,0.015,0,6.12363124973145e-07
0.015,0.015,0.001,1.24107553983383e-06
0.015,0.016,0,1.1555352137535e-06
0.015,0.016,0.001,1.47724440734668e-06
0.015,0.017,0,1.38249963374575e-06
0.015,0.017,0.001,1.66811559537228e-06
0.015,0.018,0,1.39978183917641e-06
0.015,0.018,0.001,1.53194777095488e-06
0.015,0.019,0,1.00573179445192e-06
0.015,0.019,0.001,1.34337979848852e-06
0.015,0.02,0,5.08459442091762e-07
0.015,0.02,0.001,8.32973110664358e-07
0.015,0.021,0,-1.84950258223136e-07
0.015,0.021,0.001,2.80392601663247e-07
0.015,0.022,0,-6.18534358609419e-07
0.015,0.022,0.001,-3.70334707537034e-07
0.015,0,0.002,-3.23503174997572e-07
0.015,0.001,0.002,-3.26108504628307e-07
0.015,0.002,0.002,-2.11997553081841e-07
0.015,0.003,0.002,4.24818856453965e-07
0.015,0.004,0.002,6.77534844964203e-07
0.015,0.005,0.002,7.70963417158629e-07
0.015,0.006,0.002,6.20345958228229e-08
0.015,0.007,0.002,-6.58508341851028e-07
0.015,0.008,0.002,-1.47752311639933e-06
0.015,0.009,0.002,-1.51915352854785e-06
0.015,0.01,0.002,-1.13721049724287e-06
0.015,0.011,0.002,-2.08560136473712e-07
0.015,0.012,0.002,5.63926655217357e-07
0.015,0.013,0.002,9.97249032571058e-07
0.015,0.014,0.002,1.04220847321361e-06
0.015,0.015,0.002,5.4041394986552e-07
0.015,0.016,0.002,2.84218930162843e-07
0.015,0.017,0.002,7.96597428848861e-10
0.015,0.018,0.002,2.44143494641611e-07
0.015,0.019,0.002,3.21926311796025e-07
0.015,0.02,0.002,5.82420638784833e-07
0.015,0.021,0.002,4.85573546773693e-07
0.015,0.022,0.002,4.14146496019986e-07
0.015,0,0.003,-2.68335442552976e-07
0.015,0.001,0.003,-3.77778461218332e-07
0.015,0.002,0.003,2.38339969575434e-07
0.015,0.003,0.003,4.7444823298054e-07
0.015,0.004,0.003,7.92925609855684e-07
0.015,0.005,0.003,1.28778689457847e-07
0.015,0.006,0.003,-5.07830842018462e-07
0.015,0.007,0.003,-1.49408334516953e-06
0.015,0.008,0.003,-1.49639629405984e-06
0.015,0.009,0.003,-1.09242064255644e-06
0.015,0.01,0.003,1.99398708860879e-07
0.015,0.011,0.003,1.20868527947686e-06
0.015,0.012,0.003,1.83715787458971e-06
0.015,0.013,0.003,1.52920849064438e-06
0.015,0.014,0.003,3.86233512880886e-07
0.015,0.015,0.003,-6.25168410150329e-07
0.015,0.016,0.003,-1.76439284459764e-06
0.015,0.017,0.003,-1.9336677178951e-06
0.015,0.018,0.003,-1.90159111657231e-06
0.015,0.019,0.003,-9.83719221895636e-07
0.015,0.02,0.003,-2.81617386197619e-07
0.015,0.021,0.003,5.98425042243843e-07
0.015,0.022,0.003,8.54049268143488e-07
0.015,0,0.004,-5.59529030091333e-07
0.015,0.001,0.004,-3.37317318078952e-08
0.015,0.002,0.004,1.05669046065578e-07
0.015,0.003,0.004,7.17517065814319e-07
0.015,0.004,0.004,3.23617409996692e-07
0.015,0.005,0.004,2.21302313634341e-08
0.015,0.006,0.004,-1.03560646367403e-06
0.015,0.007,0.004,-1.15870796807242e-06
0.015,0.008,0.004,-1.12178963468577e-06
0.015,0.009,0.004,1.62418720928267e-07
0.015,0.01,0.004,1.1852164510791e-06
0.015,0.011,0.004,2.19798486301099e-06
0.015,0.012,0.004,2.02484433009231e-06
0.015,0.013,0.004,1.03538876490993e-06
0.015,0.014,0.004,-3.15551625135977e-07
0.015,0.015,0.004,-2.17757174922329e-06
0.015,0.016,0.004,-2.92751579662311e-06
0.015,0.017,0.004,-3.43144310713234e-06
0.015,0.018,0.004,-2.5755115926584e-06
0.015,0.019,0.004,-1.88132985853447e-06
0.015,0.02,0.004,-5.71678250066887e-07
0.015,0.021,0.004,1.78945861360503e-07
