id,integral_strain_stress,x,y,z
108,-1.839455823945e-07,0.007,0.015,0.001
109,-6.4489176964984e-08,0.009,0.015,0.001
110,7.0278649809153e-08,0.011,0.015,0.001
111,1.4849108197583e-07,0.013,0.015,0.001
112,1.9371153074478e-07,0.015,0.015,0.001
113,1.5922702824875e-07,0.017,0.015,0.001
114,9.4504498125764e-08,0.019,0.015,0.001
115,3.9100761926366e-08,0.021,0.015,0.001
116,-1.8356065517059e-09,0.023,0.015,0.001
117,-4.26616097594e-08,0.025,0.015,0.001
118,-7.4487335079416e-08,0.027,0.015,0.001
119,-9.010288293078e-08,0.029,0.015,0.001
120,-5.7167308536865e-08,0.001,0.017,0.001
121,-2.3655500121818e-07,0.003,0.017,0.001
122,-2.3828490433923e-07,0.005,0.017,0.001
123,-1.8559199143717e-07,0.007,0.017,0.001
124,-4.3712832788268e-08,0.009,0.017,0.001
125,1.0440426707056e-07,0.011,0.017,0.001
126,1.9830704051501e-07,0.013,0.017,0.001
127,2.4170948300896e-07,0.015,0.017,0.001
128,1.8194737851603e-07,0.017,0.017,0.001
129,1.265114434339e-07,0.019,0.017,0.001
130,5.9470204996152e-08,0.021,0.017,0.001
131,1.0391923999208e-08,0.023,0.017,0.001
132,-2.5610756723972e-08,0.025,0.017,0.001
133,-7.7086626328293e-08,0.027,0.017,0.001
134,-9.4692954119226e-08,0.029,0.017,0.001
135,-5.484609746538e-08,0.001,0.019,0.001
136,-2.2515200688899e-07,0.003,0.019,0.001
137,-2.6293217807177e-07,0.005,0.019,0.001
138,-1.7087727745026e-07,0.007,0.019,0.001
139,-4.6382912184608e-08,0.009,0.019,0.001
140,1.057272414557e-07,0.011,0.019,0.001
141,2.1240389036309e-07,0.013,0.019,0.001
142,2.3339518392916e-07,0.015,0.019,0.001
143,1.6858217399503e-07,0.017,0.019,0.001
144,1.3250800914737e-07,0.019,0.019,0.001
145,5.2833478400685e-08,0.021,0.019,0.001
146,1.335296368198e-08,0.023,0.019,0.001
147,-1.719451578816e-08,0.025,0.019,0.001
148,-6.5318105159382e-08,0.027,0.019,0.001
149,-9.0138979519706e-08,0.029,0.019,0.001
150,-4.9474462786655e-08,0.001,0.021,0.001
151,-2.1676699244671e-07,0.003,0.021,0.001
152,-2.5944683373602e-07,0.005,0.021,0.001
153,-1.763170568448e-07,0.007,0.021,0.001
154,-7.1751282150513e-08,0.009,0.021,0.001
155,8.0527423356588e-08,0.011,0.021,0.001
156,1.623183979105e-07,0.013,0.021,0.001
157,1.8400412783433e-07,0.015,0.021,0.001
158,1.5410007209825e-07,0.017,0.021,0.001
159,9.6380747070074e-08,0.019,0.021,0.001
160,4.0359443954278e-08,0.021,0.021,0.001
161,9.4554583207085e-09,0.023,0.021,0.001
162,-1.8768781743582e-08,0.025,0.021,0.001
163,-4.9806765146547e-08,0.027,0.021,0.001
164,-7.2007054788686e-08,0.029,0.021,0.001
165,-2.980563532546e-08,0.001,0.023,0.001
166,-2.0048222467331e-07,0.003,0.023,0.001
167,-2.2571974106896e-07,0.005,0.023,0.001
168,-2.2207784831251e-07,0.007,0.023,0.001
169,-7.954283146914e-08,0.009,0.023,0.001
170,-1.9525676250864e-08,0.011,0.023,0.001
171,8.6392793784936e-08,0.013,0.023,0.001
172,1.1068371949579e-07,0.015,0.023,0.001
173,7.9431198437112e-08,0.017,0.023,0.001
174,5.8768568388824e-08,0.019,0.023,0.001
175,3.7257025735546e-08,0.021,0.023,0.001
176,-4.9746839910085e-09,0.023,0.023,0.001
177,-1.0318594179045e-08,0.025,0.023,0.001
178,-4.3176872932287e-08,0.027,0.023,0.001
179,-4.9099583780277e-08,0.029,0.023,0.001
180,1.515393659224e-08,0.001,0.025,0.001
181,-1.4923447985002e-07,0.003,0.025,0.001
