id,ur,x,y,z
0,1.7231065351727e-06,0.015,0.0005,0
0.0005,3.1104099000671e-06,0.015,0.001,0
0.001,4.4827271783789e-06,0.015,0.0015,0
0.0015,5.8283241924826e-06,0.015,0.002,0
0.002,7.1314359531542e-06,0.015,0.0025,0
0.0025,8.3714335783735e-06,0.015,0.003,0
0.003,9.522323958059e-06,0.015,0.0035,0
0.0035,1.0552639570437e-05,0.015,0.004,0
0.004,1.1425772370503e-05,0.015,0.0045,0
0.0045,1.2100827039528e-05,0.015,0.005,0
0.005,1.253416587373e-05,0.015,0.0055,0
0.0055,1.2682109993187e-05,0.015,0.006,0
0.006,1.2506468337886e-05,0.015,0.0065,0
0.0065,1.1985445161111e-05,0.015,0.007,0
0.007,1.1175408356665e-05,0.015,0.0075,0
0.0075,1.0166852889631e-05,0.015,0.008,0
0.008,9.2944357068492e-06,0.015,0.0085,0
0.0085,8.2469014147647e-06,0.015,0.009,0
0.009,7.7908612315711e-06,0.015,0.0095,0
0.0095,7.1909374406354e-06,0.015,0.01,0
0.01,6.3114967250528e-06,0.015,0.0105,0
0.0105,5.3271383313532e-06,0.015,0.011,0
0.011,3.9821665898015e-06,0.015,0.0115,0
0.0115,2.5826025346639e-06,0.015,0.012,0
0.012,5.7291986038678e-07,0.015,0.0125,0
0.0125,-1.6003628447481e-06,0.015,0.013,0
0.013,-4.6292385379951e-06,0.015,0.0135,0
0.0135,-8.0295171525376e-06,0.015,0.014,0
0.014,-1.2006914596491e-05,0.015,0.0145,0
0.0145,-1.6524878175022e-05,0.015,0.015,0
0.015,-2.0941858389192e-05,0.015,0.0155,0
0.0155,-2.5763998619671e-05,0.015,0.016,0
0.016,-2.9424530418613e-05,0.015,0.0165,0
0.0165,-3.3177213774157e-05,0.015,0.017,0
0.017,-3.5870781570131e-05,0.015,0.0175,0
0.0175,-3.8395697210375e-05,0.015,0.018,0
0.018,-4.0647321406482e-05,0.015,0.0185,0
0.0185,-4.2486601445342e-05,0.015,0.019,0
0.019,-4.402677592754e-05,0.015,0.0195,0
0.0195,-4.497128595673e-05,0.015,0.02,0
