id,ur,x,y,z
0,-3.7623307591831e-07,0.015,0.0005,0
0.0005,-5.9373865520219e-07,0.015,0.001,0
0.001,-6.5159864461008e-07,0.015,0.0015,0
0.0015,-5.1338837631965e-07,0.015,0.002,0
0.002,-1.8185375572566e-07,0.015,0.0025,0
0.0025,2.9872016596283e-07,0.015,0.003,0
0.003,8.4727765223492e-07,0.015,0.0035,0
0.0035,1.3576575262567e-06,0.015,0.004,0
0.004,1.7158697477322e-06,0.015,0.0045,0
0.0045,1.8207411808382e-06,0.015,0.005,0
0.005,1.6049588206772e-06,0.015,0.0055,0
0.0055,1.0531590369868e-06,0.015,0.006,0
0.006,2.1394028743813e-07,0.015,0.0065,0
0.0065,-7.9690148997942e-07,0.015,0.007,0
0.007,-1.790091271808e-06,0.015,0.0075,0
0.0075,-2.5620995400432e-06,0.015,0.008,0
0.008,-2.9635835489497e-06,0.015,0.0085,0
0.0085,-3.096480703862e-06,0.015,0.009,0
0.009,-3.0509735434116e-06,0.015,0.0095,0
0.0095,-2.9480534120162e-06,0.015,0.01,0
0.01,-2.7065191887442e-06,0.015,0.0105,0
0.0105,-2.3647758822736e-06,0.015,0.011,0
0.011,-1.7470966424815e-06,0.015,0.0115,0
0.0115,-9.888977779535e-07,0.015,0.012,0
0.012,-1.3708565640635e-07,0.015,0.0125,0
0.0125,8.6301275267804e-07,0.015,0.013,0
0.013,2.2947719409088e-06,0.015,0.0135,0
0.0135,3.8437242881901e-06,0.015,0.014,0
0.014,5.5298582371637e-06,0.015,0.0145,0
0.0145,7.2143993450554e-06,0.015,0.015,0
0.015,8.5360364547558e-06,0.015,0.0155,0
0.0155,9.5188470721384e-06,0.015,0.016,0
0.016,9.4863068995124e-06,0.015,0.0165,0
0.0165,8.836470078688e-06,0.015,0.017,0
0.017,7.3323471866993e-06,0.015,0.0175,0
0.0175,5.3108712711003e-06,0.015,0.018,0
0.018,2.7071065915009e-06,0.015,0.0185,0
0.0185,-3.0409567166096e-07,0.015,0.019,0
0.019,-3.6645488346871e-06,0.015,0.0195,0
0.0195,-7.0046080989893e-06,0.015,0.02,0
