id,ui,x,y,z
0,-4.7743078832238e-07,0.015,0.0005,0
0.0005,-9.2424652773585e-07,0.015,0.001,0
0.001,-1.2732346987353e-06,0.015,0.0015,0
0.0015,-1.4760691858263e-06,0.015,0.002,0
0.002,-1.4929550937697e-06,0.015,0.0025,0
0.0025,-1.2985878379055e-06,0.015,0.003,0
0.003,-8.8867986590735e-07,0.015,0.0035,0
0.0035,-2.8578338379705e-07,0.015,0.004,0
0.004,4.5722712521611e-07,0.015,0.0045,0
0.0045,1.257714205203e-06,0.015,0.005,0
0.005,2.0092946180095e-06,0.015,0.0055,0
0.0055,2.5941155173528e-06,0.015,0.006,0
0.006,2.901604759723e-06,0.015,0.0065,0
0.0065,2.8527995487594e-06,0.015,0.007,0
0.007,2.4488032978001e-06,0.015,0.0075,0
0.0075,1.7521159673758e-06,0.015,0.008,0
0.008,1.1856579142735e-06,0.015,0.0085,0
0.0085,4.316523822244e-07,0.015,0.009,0
0.009,8.1699728685648e-08,0.015,0.0095,0
0.0095,-3.7145361683318e-07,0.015,0.01,0
0.01,-9.8679138213449e-07,0.015,0.0105,0
0.0105,-1.5898888832425e-06,0.015,0.011,0
0.011,-2.2562439455371e-06,0.015,0.0115,0
0.0115,-2.7655122119376e-06,0.015,0.012,0
0.012,-3.4184449290514e-06,0.015,0.0125,0
0.0125,-3.8797301064457e-06,0.015,0.013,0
0.013,-4.186373988263e-06,0.015,0.0135,0
0.0135,-4.1802285877034e-06,0.015,0.014,0
0.014,-3.7394729182563e-06,0.015,0.0145,0
0.0145,-2.7866207477455e-06,0.015,0.015,0
0.015,-1.2212038319266e-06,0.015,0.0155,0
0.0155,9.8274760421951e-07,0.015,0.016,0
0.016,3.3319664118414e-06,0.015,0.0165,0
0.0165,5.9868179916339e-06,0.015,0.017,0
0.017,8.0846650646423e-06,0.015,0.0175,0
0.0175,9.9792193911616e-06,0.015,0.018,0
0.018,1.1449549266942e-05,0.015,0.0185,0
0.0185,1.228539815904e-05,0.015,0.019,0
0.019,1.2585667386816e-05,0.015,0.0195,0
0.0195,1.205756527176e-05,0.015,0.02,0
