id,uxi,x,y,z
0,-1.1552141503965e-07,0.015,0.0005,0
0.0005,-2.7988535133347e-07,0.015,0.001,0
0.001,-4.0349808938035e-07,0.015,0.0015,0
0.0015,-5.5983197071252e-07,0.015,0.002,0
0.002,-6.4272388242661e-07,0.015,0.0025,0
0.0025,-7.4973991478761e-07,0.015,0.003,0
0.003,-7.7714239782708e-07,0.015,0.0035,0
0.0035,-8.4090246025059e-07,0.015,0.004,0
0.004,-8.2737296685105e-07,0.015,0.0045,0
0.0045,-8.6920177805875e-07,0.015,0.005,0
0.005,-8.3364245693145e-07,0.015,0.0055,0
0.0055,-8.7263440370734e-07,0.015,0.006,0
0.006,-8.2727711464281e-07,0.015,0.0065,0
0.0065,-8.7486066009483e-07,0.015,0.007,0
0.007,-8.2377786721035e-07,0.015,0.0075,0
0.0075,-8.853482713017e-07,0.015,0.008,0
0.008,-8.2777389017726e-07,0.015,0.0085,0
0.0085,-9.0744096583137e-07,0.015,0.009,0
0.009,-8.4278510768565e-07,0.015,0.0095,0
0.0095,-9.4890186948528e-07,0.015,0.01,0
0.01,-8.8154952927064e-07,0.015,0.0105,0
0.0105,-1.0312536698583e-06,0.015,0.011,0
0.011,-9.7298419750281e-07,0.015,0.0115,0
0.0115,-1.1929567738606e-06,0.015,0.012,0
0.012,-1.1590473703034e-06,0.015,0.0125,0
0.0125,-1.4775244577659e-06,0.015,0.013,0
0.013,-1.4703005289137e-06,0.015,0.0135,0
0.0135,-1.8937369336195e-06,0.015,0.014,0
0.014,-1.8668983917023e-06,0.015,0.0145,0
0.0145,-2.3368697200523e-06,0.015,0.015,0
0.015,-2.1394048983173e-06,0.015,0.0155,0
0.0155,-2.4762440166279e-06,0.015,0.016,0
0.016,-1.7911984515271e-06,0.015,0.0165,0
0.0165,-1.6556476468614e-06,0.015,0.017,0
0.017,2.0171250413961e-08,0.015,0.0175,0
0.0175,1.0755388735441e-06,0.015,0.018,0
0.018,4.3236912664906e-06,0.015,0.0185,0
0.0185,6.5924126967271e-06,0.015,0.019,0
0.019,1.1718224329314e-05,0.015,0.0195,0
0.0195,1.4705904303022e-05,0.015,0.02,0
