id,uyi,x,y,z
0,-0.0038803606662756,0,0,0
1,-0.004061633563345,0.0005,0,0
2,-0.0034148982920342,0.0005,0.0005,0
3,-0.0040552495361955,0,0.0005,0
4,-0.0034068041384491,0.001,0,0
5,-0.0023326453595237,0.001,0.0005,0
6,-0.0024990925534764,0.0015,0,0
7,-0.0010124004238676,0.0015,0.0005,0
8,-0.0014389480841485,0.002,0,0
9,0.00033850696262763,0.002,0.0005,0
10,-0.00035588075582653,0.0025,0,0
11,0.0016281202976075,0.0025,0.0005,0
12,0.00068719223251803,0.003,0,0
13,0.0027820193557584,0.003,0.0005,0
14,0.0016393934587379,0.0035,0,0
15,0.0037610374584314,0.0035,0.0005,0
16,0.0024729482790504,0.004,0,0
17,0.0045442725045128,0.004,0.0005,0
18,0.0031738777123332,0.0045,0,0
19,0.0051289042455452,0.0045,0.0005,0
20,0.0037392457931876,0.005,0,0
21,0.0055250933419954,0.005,0.0005,0
22,0.0041758229827703,0.0055,0,0
23,0.0057518796305767,0.0055,0.0005,0
24,0.0044943754963043,0.006,0,0
25,0.0058347885137818,0.006,0.0005,0
26,0.0047106346608183,0.0065,0,0
27,0.0058010091470562,0.0065,0.0005,0
28,0.00483911701399,0.007,0,0
29,0.0056785354958616,0.007,0.0005,0
30,0.0048955597715728,0.0075,0,0
31,0.0054918284249657,0.0075,0.0005,0
32,0.0048912089633542,0.008,0,0
33,0.0052624983073041,0.008,0.0005,0
34,0.004836506131748,0.0085,0,0
35,0.0050059693890492,0.0085,0.0005,0
36,0.0047362862909875,0.009,0,0
37,0.0047335711905015,0.009,0.0005,0
38,0.0045943059736179,0.0095,0,0
39,0.0044503113031648,0.0095,0.0005,0
40,0.0044095313250288,0.01,0,0
41,0.0041578951309623,0.01,0.0005,0
42,0.0041808373934107,0.0105,0,0
43,0.0038534829305242,0.0105,0.0005,0
44,0.0039044135728472,0.011,0,0
45,0.0035329290649475,0.011,0.0005,0
46,0.0035778740953628,0.0115,0,0
47,0.0031903087528026,0.0115,0.0005,0
48,0.0031986789493766,0.012,0,0
49,0.0028206482060642,0.012,0.0005,0
50,0.0027670297177769,0.0125,0,0
51,0.0024199355067651,0.0125,0.0005,0
52,0.0022850199451303,0.013,0,0
53,0.0019867833554599,0.013,0.0005,0
54,0.0017580128235156,0.0135,0,0
55,0.0015225113720707,0.0135,0.0005,0
56,0.0011940505785954,0.014,0,0
57,0.0010315108959948,0.014,0.0005,0
58,0.00060384428547634,0.0145,0,0
59,0.00052093783170098,0.0145,0.0005,0
60,4.2258821673655e-15,0.015,0,0
61,2.7989144184544e-15,0.015,0.0005,0
62,-0.00060384428546122,0.0155,0,0
63,-0.00052093783168853,0.0155,0.0005,0
64,-0.0011940505785789,0.016,0,0
65,-0.001031510895979,0.016,0.0005,0
66,-0.0017580128234972,0.0165,0,0
67,-0.001522511372053,0.0165,0.0005,0
68,-0.0022850199451114,0.017,0,0
69,-0.001986783355441,0.017,0.0005,0
70,-0.0027670297177577,0.0175,0,0
71,-0.0024199355067461,0.0175,0.0005,0
72,-0.0031986789493566,0.018,0,0
73,-0.0028206482060438,0.018,0.0005,0
74,-0.0035778740953436,0.0185,0,0
75,-0.003190308752782,0.0185,0.0005,0
76,-0.0039044135728262,0.019,0,0
77,-0.0035329290649257,0.019,0.0005,0
78,-0.004180837393391,0.0195,0,0
79,-0.0038534829305035,0.0195,0.0005,0
80,-0.0044095313250121,0.02,0,0
81,-0.0041578951309453,0.02,0.0005,0
82,-0.0045943059736067,0.0205,0,0
83,-0.0044503113031531,0.0205,0.0005,0
84,-0.0047362862909797,0.021,0,0
85,-0.0047335711904948,0.021,0.0005,0
86,-0.0048365061317482,0.0215,0,0
87,-0.0050059693890505,0.0215,0.0005,0
88,-0.0048912089633598,0.022,0,0
89,-0.0052624983073108,0.022,0.0005,0
90,-0.0048955597715837,0.0225,0,0
91,-0.0054918284249781,0.0225,0.0005,0
92,-0.0048391170140029,0.023,0,0
93,-0.0056785354958764,0.023,0.0005,0
94,-0.0047106346608346,0.0235,0,0
95,-0.0058010091470729,0.0235,0.0005,0
96,-0.0044943754963218,0.024,0,0
97,-0.0058347885137994,0.024,0.0005,0
98,-0.0041758229827874,0.0245,0,0
99,-0.005751879630594,0.0245,0.0005,0
100,-0.0037392457932018,0.025,0,0
101,-0.0055250933420101,0.025,0.0005,0
102,-0.0031738777123438,0.0255,0,0
103,-0.0051289042455572,0.0255,0.0005,0
104,-0.0024729482790586,0.026,0,0
105,-0.0045442725045214,0.026,0.0005,0
106,-0.0016393934587432,0.0265,0,0
107,-0.0037610374584373,0.0265,0.0005,0
108,-0.00068719223252159,0.027,0,0
109,-0.0027820193557615,0.027,0.0005,0
110,0.00035588075582578,0.0275,0,0
111,-0.0016281202976081,0.0275,0.0005,0
112,0.0014389480841496,0.028,0,0
113,-0.00033850696262553,0.028,0.0005,0
114,0.0024990925534796,0.0285,0,0
115,0.0010124004238719,0.0285,0.0005,0
116,0.0034068041384532,0.029,0,0
117,0.0023326453595295,0.029,0.0005,0
118,0.0040616335633486,0.0295,0,0
119,0.0034148982920396,0.0295,0.0005,0
120,0.0038803606662756,0.03,0,0
121,0.0040552495361982,0.03,0.0005,0
122,-0.0021447325519125,0.0005,0.001,0
123,-0.0036149438105517,0,0.001,0
124,-0.00064481939337548,0.001,0.001,0
125,0.00092017127102972,0.0015,0.001,0
126,0.0024236620328645,0.002,0.001,0
127,0.0037675706601062,0.0025,0.001,0
128,0.0048952353567071,0.003,0.001,0
129,0.0057733247639553,0.0035,0.001,0
130,0.0063928062454168,0.004,0.001,0
131,0.0067627340867148,0.0045,0.001,0
