id,uzr,x,y,z
60,-0.0036503022052554,0.015,0,0
61,0.37594599364124,0.015,0.001,0
62,0.22159242886572,0.015,0,0.001
63,0.42715986045435,0.015,0.001,0.001
154,0.37511914618706,0.015,0.002,0
155,0.22077025072344,0.015,0.002,0.001
216,0.074077716239824,0.015,0.003,0
217,-0.37602042544437,0.015,0.003,0.001
278,-0.49945335115778,0.015,0.004,0
279,-0.94855888395782,0.015,0.004,0.001
340,-0.93485756068102,0.015,0.005,0
341,-1.24530470594,0.015,0.005,0.001
402,-1.0663338663437,0.015,0.006,0
403,-0.90589942736556,0.015,0.006,0.001
464,-0.61577392595563,0.015,0.007,0
465,-0.11491772331994,0.015,0.007,0.001
526,0.14503507252858,0.015,0.008,0
527,0.93139781069553,0.015,0.008,0.001
588,1.0501320776624,0.015,0.009,0
589,1.5963160759347,0.015,0.009,0.001
650,1.528463369087,0.015,0.01,0
651,1.6848788934171,0.015,0.01,0.001
712,1.5215998496258,0.015,0.011,0
713,0.94419507890748,0.015,0.011,0.001
774,0.82774270963637,0.015,0.012,0
775,-0.14643416493247,0.015,0.012,0.001
836,-0.076715735265872,0.015,0.013,0
837,-1.317083265028,0.015,0.013,0.001
898,-1.0340519201681,0.015,0.014,0
899,-1.8983998107946,0.015,0.014,0.001
960,-1.500557456339,0.015,0.015,0
961,-1.8938430169242,0.015,0.015,0.001
1022,-1.5460921787461,0.015,0.016,0
1023,-1.1966934842572,0.015,0.016,0.001
1084,-1.0714384401971,0.015,0.017,0
1085,-0.31545786732342,0.015,0.017,0.001
1146,-0.44243175447542,0.015,0.018,0
1147,0.51652998216656,0.015,0.018,0.001
1208,0.18732211329846,0.015,0.019,0
1209,0.95097999230649,0.015,0.019,0.001
1270,0.62508642531584,0.015,0.02,0
1271,0.97747568550227,0.015,0.02,0.001
1332,0.79554597891454,0.015,0.021,0
1333,0.76539345050845,0.015,0.021,0.001
1394,0.85738499762452,0.015,0.022,0
1395,0.42522105722818,0.015,0.022,0.001
1952,0.34770183330331,0.015,0,0.002
1953,0.20396885597207,0.015,0.001,0.002
1999,-0.36059539700661,0.015,0.002,0.002
2030,-0.88740338789184,0.015,0.003,0.002
2061,-1.2095498006646,0.015,0.004,0.002
2092,-0.86933017703338,0.015,0.005,0.002
2123,-0.1302515033378,0.015,0.006,0.002
2154,0.91851808366309,0.015,0.007,0.002
2185,1.5251467947835,0.015,0.008,0.002
2216,1.6009422280216,0.015,0.009,0.002
2247,0.75972573492421,0.015,0.01,0.002
2278,-0.34614085192791,0.015,0.011,0.002
2309,-1.563917478138,0.015,0.012,0.002
2340,-1.999857231669,0.015,0.013,0.002
2371,-1.852375386063,0.015,0.014,0.002
2402,-0.85499010498102,0.015,0.015,0.002
2433,0.17041302434935,0.015,0.016,0.002
2464,1.1041922503284,0.015,0.017,0.002
2495,1.3441537149554,0.015,0.018,0.002
2526,1.0518264629594,0.015,0.019,0.002
2557,0.36415214227257,0.015,0.02,0.002
2588,-0.44769612988901,0.015,0.021,0.002
2619,-0.90514080018679,0.015,0.022,0.002
2913,0.40295495662523,0.015,0,0.003
2914,-0.29547421724875,0.015,0.001,0.003
2960,-0.91254335425576,0.015,0.002,0.003
2991,-1.3543877015795,0.015,0.003,0.003
3022,-1.0259495794216,0.015,0.004,0.003
3053,-0.24401169757552,0.015,0.005,0.003
3084,0.97411405072587,0.015,0.006,0.003
3115,1.7036357263451,0.015,0.007,0.003
3146,1.8697279384375,0.015,0.008,0.003
3177,0.91699642533021,0.015,0.009,0.003
3208,-0.33730854371153,0.015,0.01,0.003
3239,-1.7802006923187,0.015,0.011,0.003
3270,-2.2127251624267,0.015,0.012,0.003
3301,-1.9635529516345,0.015,0.013,0.003
3332,-0.57744875345007,0.015,0.014,0.003
3363,0.72423598937208,0.015,0.015,0.003
3394,1.9298615326069,0.015,0.016,0.003
3425,2.028860557734,0.015,0.017,0.003
3456,1.4610474265848,0.015,0.018,0.003
3487,0.20078531432975,0.015,0.019,0.003
3518,-1.1268920174585,0.015,0.02,0.003
3549,-2.0367032422973,0.015,0.021,0.003
3580,-2.6196265577373,0.015,0.022,0.003
3874,0.12579414126497,0.015,0,0.004
3875,-0.67882298747419,0.015,0.001,0.004
3921,-1.4242722507411,0.015,0.002,0.004
3952,-1.3444245277732,0.015,0.003,0.004
3983,-0.70694100134568,0.015,0.004,0.004
4014,0.63842627840857,0.015,0.005,0.004
4045,1.6623354091892,0.015,0.006,0.004
4076,2.2311508440192,0.015,0.007,0.004
4107,1.503513473039,0.015,0.008,0.004
4138,0.26854684821078,0.015,0.009,0.004
4169,-1.4619265496141,0.015,0.01,0.004
4200,-2.1897547264993,0.015,0.011,0.004
4231,-2.204427144561,0.015,0.012,0.004
4262,-0.72027011916728,0.015,0.013,0.004
4293,0.7542454262534,0.015,0.014,0.004
4324,2.3365726544531,0.015,0.015,0.004
4355,2.478099703363,0.015,0.016,0.004
4386,1.9020322214499,0.015,0.017,0.004
4417,0.23028718232236,0.015,0.018,0.004
4448,-1.3770054891811,0.015,0.019,0.004
4479,-2.6167473679992,0.015,0.02,0.004
4510,-3.2646960366775,0.015,0.021,0.004
4541,-2.9734993595339,0.015,0.022,0.004
4835,-0.12135145612763,0.015,0,0.005
4836,-1.1198566291993,0.015,0.001,0.005
4882,-1.3904576746169,0.015,0.002,0.005
4913,-1.1497303516153,0.015,0.003,0.005
4944,0.0032177170494306,0.015,0.004,0.005
4975,1.1069481634509,0.015,0.005,0.005
5006,2.0904803630403,0.015,0.006,0.005
5037,1.8713154661394,0.015,0.007,0.005
5068,1.0557662053552,0.015,0.008,0.005
5099,-0.62534381203834,0.015,0.009,0.005
5130,-1.5949947021768,0.015,0.01,0.005
5161,-2.0909706098385,0.015,0.011,0.005
5192,-0.92664785468475,0.015,0.012,0.005
5223,0.3456204560093,0.015,0.013,0.005
5254,2.0944684486313,0.015,0.014,0.005
5285,2.2695584377924,0.015,0.015,0.005
5316,1.8551772065286,0.015,0.016,0.005
5347,-0.0576700525217,0.015,0.017,0.005
5378,-1.6529446147567,0.015,0.018,0.005
5409,-3.0256786108355,0.015,0.019,0.005
5440,-3.3293477946251,0.015,0.02,0.005
5471,-2.6458164140295,0.015,0.021,0.005
5502,-1.9133608552754,0.015,0.022,0.005
5796,-0.66901650070891,0.015,0,0.006
5797,-1.0920526122864,0.015,0.001,0.006
5843,-1.1832222432247,0.015,0.002,0.006
5874,-0.37885259582769,0.015,0.003,0.006
5905,0.4681721903555,0.015,0.004,0.006
5936,1.4970738921137,0.015,0.005,0.006
5967,1.6052419554146,0.015,0.006,0.006
5998,1.3118874220026,0.015,0.007,0.006
6029,0.039633037242538,0.015,0.008,0.006
6060,-0.79721831963949,0.015,0.009,0.006
6091,-1.5540230089053,0.015,0.01,0.006
