id,strain_stress,x,y,z
0,0.013054420936355,0.00025,0.00025,0
1,0.027216369896927,0.00075,0.00025,0
2,0.031568741693329,0.00125,0.00025,0
3,0.025690387814085,0.00175,0.00025,0
4,0.011336415579045,0.00225,0.00025,0
5,-0.010223980131192,0.00275,0.00025,0
6,-0.036310204320227,0.00325,0.00025,0
7,-0.064021041633292,0.00375,0.00025,0
8,-0.089979180912356,0.00425,0.00025,0
9,-0.11086138193048,0.00475,0.00025,0
10,-0.12371572498695,0.00525,0.00025,0
11,-0.12619144315095,0.00575,0.00025,0
12,-0.11697759020123,0.00625,0.00025,0
13,-0.095675626557653,0.00675,0.00025,0
14,-0.063184196145408,0.00725,0.00025,0
15,-0.021147078872385,0.00775,0.00025,0
16,0.027725288953593,0.00825,0.00025,0
17,0.08058233906474,0.00875,0.00025,0
18,0.13406163678014,0.00925,0.00025,0
19,0.18544144205391,0.00975,0.00025,0
20,0.23202588409719,0.01025,0.00025,0
21,0.27239455447047,0.01075,0.00025,0
22,0.30528202617867,0.01125,0.00025,0
23,0.33101234151807,0.01175,0.00025,0
24,0.34940508492445,0.01225,0.00025,0
25,0.36204111748505,0.01275,0.00025,0
26,0.36775498819588,0.01325,0.00025,0
27,0.36830793398025,0.01375,0.00025,0
28,0.34968774833954,0.01425,0.00025,0
29,0.33693178273567,0.01475,0.00025,0
30,0.33693178273561,0.01525,0.00025,0
31,0.34968774833964,0.01575,0.00025,0
32,0.36830793398029,0.01625,0.00025,0
33,0.36775498819583,0.01675,0.00025,0
34,0.36204111748499,0.01725,0.00025,0
35,0.34940508492438,0.01775,0.00025,0
36,0.33101234151806,0.01825,0.00025,0
37,0.30528202617871,0.01875,0.00025,0
38,0.27239455447058,0.01925,0.00025,0
39,0.23202588409728,0.01975,0.00025,0
40,0.18544144205406,0.02025,0.00025,0
41,0.13406163678025,0.02075,0.00025,0
42,0.080582339064716,0.02125,0.00025,0
43,0.027725288953533,0.02175,0.00025,0
44,-0.021147078872539,0.02225,0.00025,0
45,-0.06318419614552,0.02275,0.00025,0
46,-0.095675626557728,0.02325,0.00025,0
47,-0.11697759020127,0.02375,0.00025,0
48,-0.12619144315096,0.02425,0.00025,0
49,-0.12371572498689,0.02475,0.00025,0
50,-0.11086138193039,0.02525,0.00025,0
51,-0.089979180912233,0.02575,0.00025,0
52,-0.064021041633173,0.02625,0.00025,0
53,-0.036310204320134,0.02675,0.00025,0
54,-0.010223980131039,0.02725,0.00025,0
55,0.01133641557918,0.02775,0.00025,0
56,0.025690387814136,0.02825,0.00025,0
57,0.031568741693319,0.02875,0.00025,0
58,0.027216369896867,0.02925,0.00025,0
59,0.013054420936254,0.02975,0.00025,0
60,0.027892518821584,0.00025,0.00075,0
61,0.01819241223422,0.00075,0.00075,0
62,0.0087073799043307,0.00125,0.00075,0
63,-0.0061229092318824,0.00175,0.00075,0
64,-0.025941278128027,0.00225,0.00075,0
65,-0.048160315014832,0.00275,0.00075,0
66,-0.070176520532022,0.00325,0.00075,0
67,-0.089045152821939,0.00375,0.00075,0
68,-0.1021103631187,0.00425,0.00075,0
69,-0.10715771755785,0.00475,0.00075,0
70,-0.10255343339201,0.00525,0.00075,0
71,-0.087595753488579,0.00575,0.00075,0
72,-0.06222116785182,0.00625,0.00075,0
73,-0.027467038081535,0.00675,0.00075,0
74,0.01529175083557,0.00725,0.00075,0
75,0.063707677483691,0.00775,0.00075,0
76,0.11566197443867,0.00825,0.00075,0
77,0.16833447478273,0.00875,0.00075,0
78,0.21974623452916,0.00925,0.00075,0
79,0.26740358295649,0.00975,0.00075,0
80,0.31011545737049,0.01025,0.00075,0
81,0.34604787253723,0.01075,0.00075,0
82,0.37495170888368,0.01125,0.00075,0
83,0.39526000996888,0.01175,0.00075,0
84,0.40736699463084,0.01225,0.00075,0
85,0.40873439972498,0.01275,0.00075,0
86,0.40047713090835,0.01325,0.00075,0
87,0.37688176599717,0.01375,0.00075,0
88,0.3581270358704,0.01425,0.00075,0
