id,uyr,x,y,z
130,0.0048457513925188,0.004,0.001,0
131,0.0039441751905586,0.0045,0.001,0
132,0.0029324011491483,0.005,0.001,0
133,0.0018449613132463,0.0055,0.001,0
134,0.00073107893933347,0.006,0.001,0
135,-0.00038142841204482,0.0065,0.001,0
136,-0.001449047019385,0.007,0.001,0
137,-0.0024505231031843,0.0075,0.001,0
138,-0.0033489526634595,0.008,0.001,0
139,-0.0041296935472016,0.0085,0.001,0
140,-0.0047637280246353,0.009,0.001,0
141,-0.005243206546866,0.0095,0.001,0
142,-0.0055485679859339,0.01,0.001,0
143,-0.0056791578046233,0.0105,0.001,0
144,-0.005626396217524,0.011,0.001,0
145,-0.0053973456399256,0.0115,0.001,0
146,-0.0049953470619983,0.012,0.001,0
147,-0.0044355858045507,0.0125,0.001,0
148,-0.0037331549558365,0.013,0.001,0
149,-0.0029112325099502,0.0135,0.001,0
150,-0.0019949226181947,0.014,0.001,0
151,-0.0010139970429833,0.0145,0.001,0
152,-7.9783696807395e-17,0.015,0.001,0
153,0.0010139970429856,0.0155,0.001,0
154,0.0019949226181999,0.016,0.001,0
155,0.0029112325099551,0.0165,0.001,0
156,0.0037331549558429,0.017,0.001,0
157,0.004435585804559,0.0175,0.001,0
158,0.0049953470620041,0.018,0.001,0
159,0.0053973456399308,0.0185,0.001,0
160,0.0056263962175288,0.019,0.001,0
161,0.0056791578046271,0.0195,0.001,0
162,0.0055485679859375,0.02,0.001,0
163,0.0052432065468703,0.0205,0.001,0
164,0.00476372802464,0.021,0.001,0
165,0.0041296935472073,0.0215,0.001,0
166,0.0033489526634661,0.022,0.001,0
167,0.0024505231031923,0.0225,0.001,0
168,0.001449047019394,0.023,0.001,0
169,0.00038142841205547,0.0235,0.001,0
170,-0.00073107893932247,0.024,0.001,0
171,-0.0018449613132362,0.0245,0.001,0
172,-0.0029324011491392,0.025,0.001,0
173,-0.0039441751905506,0.0255,0.001,0
174,-0.0048457513925119,0.026,0.001,0
175,-0.0055822692421921,0.0265,0.001,0
176,-0.0061105772740705,0.027,0.001,0
177,-0.006366679812224,0.0275,0.001,0
178,-0.0062882337830588,0.028,0.001,0
179,-0.0057838899287748,0.0285,0.001,0
180,-0.0047275500829732,0.029,0.001,0
181,-0.0029248980833518,0.0295,0.001,0
182,-0.00042090531232789,0.03,0.001,0
183,0.0036128261612349,0.0005,0.0015,0
184,0.0020481909852388,0,0.0015,0
185,0.0046704137642083,0.001,0.0015,0
186,0.0052086817131848,0.0015,0.0015,0
187,0.005269722293247,0.002,0.0015,0
188,0.0049747181291544,0.0025,0.0015,0
189,0.0044019054476243,0.003,0.0015,0
190,0.0036334461557631,0.0035,0.0015,0
191,0.0027162974409346,0.004,0.0015,0
192,0.0017111022604684,0.0045,0.0015,0
193,0.00064647607622629,0.005,0.0015,0
194,-0.00042885434064997,0.0055,0.0015,0
195,-0.0014977257893095,0.006,0.0015,0
196,-0.0025187924011166,0.0065,0.0015,0
197,-0.0034822115901189,0.007,0.0015,0
198,-0.0043515809973696,0.0075,0.0015,0
199,-0.0051215091781753,0.008,0.0015,0
200,-0.0057599131607857,0.0085,0.0015,0
201,-0.0062643622587203,0.009,0.0015,0
202,-0.0066083831956088,0.0095,0.0015,0
203,-0.0067925556015873,0.01,0.0015,0
204,-0.0067986844372739,0.0105,0.0015,0
205,-0.0066316106096036,0.011,0.0015,0
206,-0.006284323888113,0.0115,0.0015,0
207,-0.0057677436904277,0.012,0.0015,0
208,-0.0050879906096894,0.0125,0.0015,0
209,-0.0042637621653598,0.013,0.0015,0
210,-0.0033143355817996,0.0135,0.0015,0
211,-0.0022667647614536,0.014,0.0015,0
212,-0.0011508279528483,0.0145,0.0015,0
213,1.6559903246539e-16,0.015,0.0015,0
214,0.0011508279528506,0.0155,0.0015,0
215,0.0022667647614583,0.016,0.0015,0
216,0.0033143355818038,0.0165,0.0015,0
217,0.0042637621653654,0.017,0.0015,0
218,0.0050879906096965,0.0175,0.0015,0
219,0.0057677436904326,0.018,0.0015,0
220,0.0062843238881157,0.0185,0.0015,0
221,0.006631610609605,0.019,0.0015,0
222,0.006798684437275,0.0195,0.0015,0
223,0.0067925556015889,0.02,0.0015,0
224,0.0066083831956123,0.0205,0.0015,0
225,0.0062643622587237,0.021,0.0015,0
226,0.0057599131607924,0.0215,0.0015,0
227,0.0051215091781829,0.022,0.0015,0
228,0.0043515809973799,0.0225,0.0015,0
229,0.0034822115901295,0.023,0.0015,0
230,0.0025187924011291,0.0235,0.0015,0
231,0.0014977257893229,0.024,0.0015,0
232,0.00042885434066276,0.0245,0.0015,0
233,-0.00064647607621462,0.025,0.0015,0
234,-0.0017111022604584,0.0255,0.0015,0
235,-0.0027162974409262,0.026,0.0015,0
236,-0.0036334461557577,0.0265,0.0015,0
237,-0.0044019054476209,0.027,0.0015,0
238,-0.0049747181291548,0.0275,0.0015,0
239,-0.0052697222932481,0.028,0.0015,0
240,-0.0052086817131883,0.0285,0.0015,0
241,-0.0046704137642117,0.029,0.0015,0
242,-0.0036128261612368,0.0295,0.0015,0
243,-0.002048190985238,0.03,0.0015,0
244,0.0039660034487138,0.0005,0.002,0
245,0.0034416978647434,0,0.002,0
246,0.0041645136272371,0.001,0.002,0
247,0.0040108158143398,0.0015,0.002,0
248,0.0035582206450508,0.002,0.002,0
249,0.002855633956712,0.0025,0.002,0
250,0.0019950303421928,0.003,0.002,0
251,0.0010254589808203,0.0035,0.002,0
252,1.4837991463058e-05,0.004,0.002,0
253,-0.0010131428041402,0.0045,0.002,0
254,-0.0020110275352318,0.005,0.002,0
255,-0.0029743260917138,0.0055,0.002,0
256,-0.0038678567232653,0.006,0.002,0
257,-0.0046981465683403,0.0065,0.002,0
258,-0.00543518174013,0.007,0.002,0
259,-0.00608931990922,0.0075,0.002,0
260,-0.0066313100093864,0.008,0.002,0
261,-0.0070705492526767,0.0085,0.002,0
262,-0.0073779087803959,0.009,0.002,0
263,-0.007560197217103,0.0095,0.002,0
264,-0.0075912840787676,0.01,0.002,0
265,-0.0074766105025104,0.0105,0.002,0
266,-0.0071978167942274,0.011,0.002,0
267,-0.0067619309562274,0.0115,0.002,0
268,-0.0061629138613408,0.012,0.002,0
269,-0.0054129423120178,0.0125,0.002,0
270,-0.0045209493435741,0.013,0.002,0
271,-0.0035073978613656,0.0135,0.002,0
272,-0.0023956971669621,0.014,0.002,0
273,-0.0012154708496654,0.0145,0.002,0
274,8.1702691058594e-16,0.015,0.002,0
275,0.0012154708496678,0.0155,0.002,0
276,0.0023956971669661,0.016,0.002,0
277,0.0035073978613711,0.0165,0.002,0
278,0.0045209493435799,0.017,0.002,0
279,0.0054129423120233,0.0175,0.002,0
280,0.0061629138613456,0.018,0.002,0
281,0.0067619309562283,0.0185,0.002,0
282,0.0071978167942271,0.019,0.002,0
283,0.0074766105025094,0.0195,0.002,0
284,0.0075912840787675,0.02,0.002,0
285,0.0075601972171056,0.0205,0.002,0
286,0.0073779087803991,0.021,0.002,0
287,0.0070705492526817,0.0215,0.002,0
288,0.0066313100093949,0.022,0.002,0
289,0.0060893199092305,0.0225,0.002,0
290,0.0054351817401433,0.023,0.002,0
291,0.0046981465683529,0.0235,0.002,0
292,0.0038678567232805,0.024,0.002,0
293,0.0029743260917295,0.0245,0.002,0
294,0.0020110275352455,0.025,0.002,0
295,0.0010131428041519,0.0255,0.002,0
296,-1.483799145374e-05,0.026,0.002,0
297,-0.001025458980814,0.0265,0.002,0
298,-0.0019950303421891,0.027,0.002,0
299,-0.0028556339567118,0.0275,0.002,0
300,-0.0035582206450526,0.028,0.002,0
301,-0.0040108158143437,0.0285,0.002,0
302,-0.0041645136272419,0.029,0.002,0
303,-0.0039660034487174,0.0295,0.002,0
304,-0.0034416978647449,0.03,0.002,0
305,0.0039229317973853,0.0005,0.0025,0
306,0.0044868017920789,0,0.0025,0
307,0.0031907839715668,0.001,0.0025,0
308,0.0023094332810764,0.0015,0.0025,0
309,0.0012889325358138,0.002,0.0025,0
310,0.00019865174808692,0.0025,0.0025,0
311,-0.00092580370346201,0.003,0.0025,0
312,-0.0020137441442545,0.0035,0.0025,0
313,-0.0030470881396961,0.004,0.0025,0
314,-0.0039795797276147,0.0045,0.0025,0
315,-0.0048196019484418,0.005,0.0025,0
316,-0.0055403260940021,0.0055,0.0025,0
317,-0.0061678315295299,0.006,0.0025,0
318,-0.0066835796433809,0.0065,0.0025,0
319,-0.0071196132650319,0.007,0.0025,0
320,-0.0074560430107568,0.0075,0.0025,0
321,-0.0077213052253744,0.008,0.0025,0
322,-0.007889597026254,0.0085,0.0025,0
323,-0.0079807524215799,0.009,0.0025,0
324,-0.0079645481825299,0.0095,0.0025,0
325,-0.0078521419286601,0.01,0.0025,0
326,-0.0076148640953237,0.0105,0.0025,0
327,-0.0072586515513203,0.011,0.0025,0
328,-0.0067637183781908,0.0115,0.0025,0
329,-0.0061358390483868,0.012,0.0025,0
330,-0.0053699418340512,0.0125,0.0025,0
331,-0.0044771443124659,0.013,0.0025,0
332,-0.0034697278619248,0.0135,0.0025,0
333,-0.0023687667817418,0.014,0.0025,0
334,-0.001201756074323,0.0145,0.0025,0
335,1.4478668030913e-15,0.015,0.0025,0
336,0.0012017560743257,0.0155,0.0025,0
337,0.0023687667817473,0.016,0.0025,0
338,0.0034697278619309,0.0165,0.0025,0
339,0.0044771443124728,0.017,0.0025,0
340,0.0053699418340565,0.0175,0.0025,0
341,0.00613583904839,0.018,0.0025,0
342,0.0067637183781931,0.0185,0.0025,0
343,0.007258651551319,0.019,0.0025,0
344,0.0076148640953212,0.0195,0.0025,0
345,0.0078521419286586,0.02,0.0025,0
346,0.0079645481825309,0.0205,0.0025,0
347,0.0079807524215824,0.021,0.0025,0
348,0.0078895970262578,0.0215,0.0025,0
349,0.0077213052253821,0.022,0.0025,0
350,0.007456043010768,0.0225,0.0025,0
351,0.0071196132650446,0.023,0.0025,0
352,0.0066835796433954,0.0235,0.0025,0
353,0.006167831529546,0.024,0.0025,0
354,0.0055403260940191,0.0245,0.0025,0
355,0.0048196019484569,0.025,0.0025,0
356,0.0039795797276282,0.0255,0.0025,0
357,0.0030470881397061,0.026,0.0025,0
358,0.0020137441442616,0.0265,0.0025,0
359,0.00092580370346558,0.027,0.0025,0
360,-0.00019865174808655,0.0275,0.0025,0
361,-0.0012889325358156,0.028,0.0025,0
362,-0.0023094332810811,0.0285,0.0025,0
363,-0.0031907839715721,0.029,0.0025,0
364,-0.0039229317973909,0.0295,0.0025,0
365,-0.0044868017920822,0.03,0.0025,0
366,0.0034356477939403,0.0005,0.003,0
367,0.005094813158352,0,0.003,0
368,0.001801868192876,0.001,0.003,0
369,0.000187874773454,0.0015,0.003,0
370,-0.0013547301535123,0.002,0.003,0
371,-0.0028090845941107,0.0025,0.003,0
372,-0.0041116588918537,0.003,0.003,0
373,-0.005253941360964,0.0035,0.003,0
374,-0.006191997619127,0.004,0.003,0
375,-0.0069465795705628,0.0045,0.003,0
376,-0.0074998075584504,0.005,0.003,0
377,-0.0078983350719776,0.0055,0.003,0
378,-0.0081385286395859,0.006,0.003,0
379,-0.0082783554872763,0.0065,0.003,0
380,-0.0083133195638449,0.007,0.003,0
381,-0.0082976775672792,0.0075,0.003,0
382,-0.0082157567455193,0.008,0.003,0
383,-0.0081080918359911,0.0085,0.003,0
384,-0.007945868574062,0.009,0.003,0
385,-0.0077528385506906,0.0095,0.003,0
386,-0.0074928972502162,0.01,0.003,0
387,-0.0071759433516759,0.0105,0.003,0
388,-0.0067685346515264,0.011,0.003,0
389,-0.0062728067671901,0.0115,0.003,0
390,-0.005667419320194,0.012,0.003,0
391,-0.0049537984978909,0.0125,0.003,0
392,-0.0041289001232196,0.013,0.003,0
393,-0.0032012477268394,0.0135,0.003,0
394,-0.0021877739935301,0.014,0.003,0
395,-0.0011102364828896,0.0145,0.003,0
396,2.6677162664333e-15,0.015,0.003,0
397,0.0011102364828937,0.0155,0.003,0
398,0.002187773993537,0.016,0.003,0
399,0.0032012477268461,0.0165,0.003,0
400,0.0041289001232266,0.017,0.003,0
401,0.0049537984978977,0.0175,0.003,0
402,0.0056674193201979,0.018,0.003,0
403,0.0062728067671913,0.0185,0.003,0
404,0.0067685346515255,0.019,0.003,0
405,0.0071759433516731,0.0195,0.003,0
406,0.0074928972502138,0.02,0.003,0
407,0.0077528385506899,0.0205,0.003,0
408,0.0079458685740625,0.021,0.003,0
409,0.0081080918359953,0.0215,0.003,0
410,0.0082157567455253,0.022,0.003,0
411,0.0082976775672901,0.0225,0.003,0
412,0.0083133195638577,0.023,0.003,0
413,0.0082783554872916,0.0235,0.003,0
414,0.0081385286396023,0.024,0.003,0
415,0.0078983350719943,0.0245,0.003,0
416,0.0074998075584663,0.025,0.003,0
417,0.0069465795705765,0.0255,0.003,0
418,0.0061919976191378,0.026,0.003,0
419,0.005253941360971,0.0265,0.003,0
420,0.0041116588918577,0.027,0.003,0
421,0.0028090845941109,0.0275,0.003,0
422,0.0013547301535097,0.028,0.003,0
423,-0.00018787477345836,0.0285,0.003,0
424,-0.0018018681928822,0.029,0.003,0
425,-0.0034356477939468,0.0295,0.003,0
426,-0.0050948131583577,0.03,0.003,0
427,0.00252579255261,0.0005,0.0035,0
428,0.0051899815275405,0,0.0035,0
429,4.3837176571407e-05,0.001,0.0035,0
430,-0.0022058901791036,0.0015,0.0035,0
431,-0.0042152173112686,0.002,0.0035,0
432,-0.0059252669782007,0.0025,0.0035,0
433,-0.0073366091264233,0.003,0.0035,0
434,-0.0084086415040979,0.0035,0.0035,0
435,-0.0091733599222525,0.004,0.0035,0
436,-0.0096212265926514,0.0045,0.0035,0
437,-0.0098184318500863,0.005,0.0035,0
438,-0.0097776531021935,0.0055,0.0035,0
439,-0.0095846011837773,0.006,0.0035,0
440,-0.0092547984491739,0.0065,0.0035,0
441,-0.0088734756680177,0.007,0.0035,0
442,-0.0084417658121665,0.0075,0.0035,0
443,-0.0080282978808537,0.008,0.0035,0
444,-0.0076121660560495,0.0085,0.0035,0
445,-0.0072375337683531,0.009,0.0035,0
446,-0.0068651792864449,0.0095,0.0035,0
447,-0.006515625702107,0.01,0.0035,0
448,-0.0061431744582961,0.0105,0.0035,0
449,-0.0057513485027668,0.011,0.0035,0
450,-0.0053016079146976,0.0115,0.0035,0
451,-0.0047885892563698,0.012,0.0035,0
452,-0.0041909871651311,0.0125,0.0035,0
453,-0.0035033719356631,0.013,0.0035,0
454,-0.0027272423932006,0.0135,0.0035,0
455,-0.0018686026103777,0.014,0.0035,0
456,-0.00095132354759226,0.0145,0.0035,0
457,3.7540952843643e-15,0.015,0.0035,0
458,0.00095132354759932,0.0155,0.0035,0
459,0.0018686026103851,0.016,0.0035,0
460,0.0027272423932078,0.0165,0.0035,0
461,0.0035033719356709,0.017,0.0035,0
462,0.0041909871651386,0.0175,0.0035,0
463,0.0047885892563747,0.018,0.0035,0
464,0.0053016079146987,0.0185,0.0035,0
465,0.0057513485027656,0.019,0.0035,0
466,0.006143174458295,0.0195,0.0035,0
467,0.0065156257021053,0.02,0.0035,0
468,0.0068651792864434,0.0205,0.0035,0
469,0.0072375337683521,0.021,0.0035,0
470,0.0076121660560528,0.0215,0.0035,0
471,0.0080282978808604,0.022,0.0035,0
472,0.0084417658121755,0.0225,0.0035,0
473,0.0088734756680311,0.023,0.0035,0
474,0.0092547984491875,0.0235,0.0035,0
475,0.0095846011837923,0.024,0.0035,0
476,0.0097776531022095,0.0245,0.0035,0
477,0.009818431850102,0.025,0.0035,0
478,0.0096212265926647,0.0255,0.0035,0
479,0.0091733599222632,0.026,0.0035,0
480,0.0084086415041045,0.0265,0.0035,0
481,0.0073366091264277,0.027,0.0035,0
482,0.0059252669782003,0.0275,0.0035,0
483,0.0042152173112661,0.028,0.0035,0
484,0.0022058901790988,0.0285,0.0035,0
485,-4.3837176577786e-05,0.029,0.0035,0
486,-0.0025257925526172,0.0295,0.0035,0
487,-0.0051899815275476,0.03,0.0035,0
488,0.0012102337522008,0.0005,0.004,0
489,0.0047679921076679,0,0.004,0
490,-0.0019652829763347,0.001,0.004,0
491,-0.0047491562889606,0.0015,0.004,0
492,-0.0070767355501771,0.002,0.004,0
493,-0.0089497350803048,0.0025,0.004,0
494,-0.01032615163825,0.003,0.004,0
495,-0.011244857493946,0.0035,0.004,0
496,-0.011701971588256,0.004,0.004,0
497,-0.011779940148489,0.0045,0.004,0
498,-0.011506887399008,0.005,0.004,0
499,-0.010995344095539,0.0055,0.004,0
500,-0.010283435111991,0.006,0.004,0
501,-0.0094899716644943,0.0065,0.004,0
502,-0.0086385967379708,0.007,0.004,0
503,-0.0078319001357809,0.0075,0.004,0
504,-0.0070636780642543,0.008,0.004,0
505,-0.0064062618630847,0.0085,0.004,0
506,-0.0058227043615116,0.009,0.004,0
507,-0.0053517505170668,0.0095,0.004,0
508,-0.0049377628324386,0.01,0.004,0
509,-0.0045918888390932,0.0105,0.004,0
510,-0.0042580011594203,0.011,0.004,0
511,-0.0039294958879414,0.0115,0.004,0
512,-0.0035651372523561,0.012,0.004,0
513,-0.0031488008066416,0.0125,0.004,0
514,-0.002662729626543,0.013,0.004,0
515,-0.0020929684679945,0.0135,0.004,0
516,-0.001450143294465,0.014,0.004,0
517,-0.00074118590026611,0.0145,0.004,0
518,4.7740147015176e-15,0.015,0.004,0
519,0.00074118590027515,0.0155,0.004,0
520,0.0014501432944734,0.016,0.004,0
521,0.0020929684680029,0.0165,0.004,0
522,0.0026627296265513,0.017,0.004,0
523,0.0031488008066494,0.0175,0.004,0
524,0.0035651372523611,0.018,0.004,0
