id,uxi,x,y,z
0,-0.00056591884419503,0.015,0.0005,0
0.0005,-0.0015738388014637,0.015,0.001,0
0.001,-0.0021811481611838,0.015,0.0015,0
0.0015,-0.0020620147064379,0.015,0.002,0
0.002,-0.0011419074230347,0.015,0.0025,0
0.0025,0.0004030467312601,0.015,0.003,0
0.003,0.0020923788137471,0.015,0.0035,0
0.0035,0.0033369854011115,0.015,0.004,0
0.004,0.0035676061988951,0.015,0.0045,0
0.0045,0.0025182868746293,0.015,0.005,0
0.005,0.00033082372044456,0.015,0.0055,0
0.0055,-0.0023799881322283,0.015,0.006,0
0.006,-0.0046622632238989,0.015,0.0065,0
0.0065,-0.0055984284025928,0.015,0.007,0
0.007,-0.0045722688927641,0.015,0.0075,0
0.0075,-0.0017484780871533,0.015,0.008,0
0.008,-0.00032002005314057,0.015,0.0085,0
0.0085,0.0015062415458376,0.015,0.009,0
0.009,0.0034728693543815,0.015,0.0095,0
0.0095,0.0052605125266817,0.015,0.01,0
0.01,0.0066319319785723,0.015,0.0105,0
0.0105,0.007276975680137,0.015,0.011,0
0.011,0.0070487154551376,0.015,0.0115,0
0.0115,0.0057446972062579,0.015,0.012,0
0.012,0.0034116923434514,0.015,0.0125,0
0.0125,7.7329892740054e-05,0.015,0.013,0
0.013,-0.0039302936126727,0.015,0.0135,0
0.0135,-0.0083324491382078,0.015,0.014,0
0.014,-0.012540379295677,0.015,0.0145,0
0.0145,-0.01612342839846,0.015,0.015,0
0.015,-0.018376709210203,0.015,0.0155,0
0.0155,-0.01893300040304,0.015,0.016,0
0.016,-0.017200707390748,0.015,0.0165,0
0.0165,-0.013152520113652,0.015,0.017,0
0.017,-0.0065391375326386,0.015,0.0175,0
0.0175,0.0020792126408984,0.015,0.018,0
0.018,0.012493420746939,0.015,0.0185,0
0.0185,0.023419542415373,0.015,0.019,0
0.019,0.03428444560778,0.015,0.0195,0
0.0195,0.04310241969888,0.015,0.02,0
0.02,0.049220921934262,0.015,0.0205,0
0.0205,0.050211687474561,0.015,0.021,0
0.021,0.046116177701829,0.015,0.0215,0
0.0215,0.034052735450841,0.015,0.022,0
