x,y,z,value
0.018,0.014,0.016,-1.17654203663311e-06
0.02,0.014,0.016,-4.47379108366609e-05
0.022,0.014,0.016,4.68816567565898e-05
0.024,0.014,0.016,-2.15993100745964e-05
0.026,0.014,0.016,3.65659271684161e-05
0.028,0.014,0.016,-1.65089981359525e-05
0.03,0.014,0.016,1.30026187261861e-06
0.002,0.016,0.016,8.79707217376384e-05
0,0.016,0.016,-8.74336314257284e-06
0.004,0.016,0.016,-5.11356030794496e-06
0.006,0.016,0.016,2.13607627694943e-05
0.008,0.016,0.016,-3.50477236309953e-05
0.01,0.016,0.016,-1.73687537693456e-05
0.012,0.016,0.016,1.3256020534111e-05
0.014,0.016,0.016,-2.28293136844905e-05
0.016,0.016,0.016,-2.00743515641096e-06
0.018,0.016,0.016,-6.44181153222926e-06
0.02,0.016,0.016,2.03338599257354e-05
0.022,0.016,0.016,3.14868239300683e-05
0.024,0.016,0.016,-4.92384836977911e-05
0.026,0.016,0.016,5.52302856714278e-05
0.028,0.016,0.016,-4.36012589552996e-05
0.03,0.016,0.016,4.89513261062289e-05
0.002,0.018,0.016,2.9597906691183e-05
0,0.018,0.016,-6.51858666685763e-06
0.004,0.018,0.016,6.92889299444446e-06
0.006,0.018,0.016,-2.64291623863499e-05
0.008,0.018,0.016,-5.69330822178405e-05
0.01,0.018,0.016,2.50839496572942e-06
0.012,0.018,0.016,-1.1105046051028e-05
0.014,0.018,0.016,-5.4642534017733e-05
0.016,0.018,0.016,1.63311098905076e-05
0.018,0.018,0.016,7.75938944901613e-05
0.02,0.018,0.016,-1.77968739598403e-06
0.022,0.018,0.016,3.45669050499093e-05
0.024,0.018,0.016,-1.54207291438173e-05
0.026,0.018,0.016,-2.97443467544524e-05
0.028,0.018,0.016,-1.9762180691207e-06
0.03,0.018,0.016,-5.77562232680153e-05
0.002,0.02,0.016,-5.82102896068653e-05
0,0.02,0.016,3.57842870399989e-05
0.004,0.02,0.016,-6.41494847957239e-06
0.006,0.02,0.016,4.50468815642443e-06
0.008,0.02,0.016,-3.39058666761605e-05
0.01,0.02,0.016,-3.26039186066238e-05
0.012,0.02,0.016,-2.47079006250647e-05
0.014,0.02,0.016,6.90234942918709e-05
0.016,0.02,0.016,-1.21631965922527e-05
0.018,0.02,0.016,-4.48739737457298e-06
0.02,0.02,0.016,-9.00918829357879e-06
0.022,0.02,0.016,-1.56445857479811e-05
0.024,0.02,0.016,-1.56209812134003e-05
0.026,0.02,0.016,-4.70645024082963e-05
0.028,0.02,0.016,8.1871504475201e-07
0.03,0.02,0.016,8.0868301492919e-05
