id,integral_strain_stress_param2,x,y,z
0,5.6119386430963e-09,0.00025,0.00025,0
1,2.2356207392908e-08,0.00075,0.00025,0
2,4.7814016211254e-08,0.00125,0.00025,0
3,7.1540115765016e-08,0.00175,0.00025,0
4,8.3470205903527e-08,0.00225,0.00025,0
5,7.7807412611479e-08,0.00275,0.00025,0
6,5.5179091271514e-08,0.00325,0.00025,0
7,2.2326449010388e-08,0.00375,0.00025,0
8,-1.0371672677477e-08,0.00425,0.00025,0
9,-3.241133402728e-08,0.00475,0.00025,0
10,-3.6307447069402e-08,0.00525,0.00025,0
11,-1.9308411521858e-08,0.00575,0.00025,0
12,1.6632619217413e-08,0.00625,0.00025,0
13,6.6171259115013e-08,0.00675,0.00025,0
14,1.2226216456428e-07,0.00725,0.00025,0
15,1.7735748954412e-07,0.00775,0.00025,0
16,2.2369933007665e-07,0.00825,0.00025,0
17,2.5290626041903e-07,0.00875,0.00025,0
18,2.5552683299809e-07,0.00925,0.00025,0
19,2.2135830785549e-07,0.00975,0.00025,0
20,1.4108029567542e-07,0.01025,0.00025,0
21,9.2782875260557e-09,0.01075,0.00025,0
22,-1.715482762418e-07,0.01125,0.00025,0
23,-3.8667287632198e-07,0.01175,0.00025,0
24,-6.0537904201498e-07,0.01225,0.00025,0
25,-7.7821099602249e-07,0.01275,0.00025,0
26,-8.3755275871965e-07,0.01325,0.00025,0
27,-6.9724027740944e-07,0.01375,0.00025,0
28,-2.7356573314711e-07,0.01425,0.00025,0
29,5.3429446671258e-07,0.01475,0.00025,0
30,5.3429446671258e-07,0.01525,0.00025,0
31,-2.7356573314711e-07,0.01575,0.00025,0
32,-6.9724027740943e-07,0.01625,0.00025,0
33,-8.3755275871964e-07,0.01675,0.00025,0
34,-7.7821099602249e-07,0.01725,0.00025,0
35,-6.0537904201497e-07,0.01775,0.00025,0
36,-3.8667287632198e-07,0.01825,0.00025,0
37,-1.715482762418e-07,0.01875,0.00025,0
38,9.278287526055e-09,0.01925,0.00025,0
39,1.4108029567542e-07,0.01975,0.00025,0
40,2.213583078555e-07,0.02025,0.00025,0
41,2.5552683299808e-07,0.02075,0.00025,0
42,2.5290626041903e-07,0.02125,0.00025,0
43,2.2369933007665e-07,0.02175,0.00025,0
44,1.7735748954412e-07,0.02225,0.00025,0
45,1.2226216456428e-07,0.02275,0.00025,0
46,6.6171259115015e-08,0.02325,0.00025,0
47,1.6632619217414e-08,0.02375,0.00025,0
48,-1.9308411521856e-08,0.02425,0.00025,0
49,-3.6307447069401e-08,0.02475,0.00025,0
50,-3.241133402728e-08,0.02525,0.00025,0
51,-1.0371672677477e-08,0.02575,0.00025,0
52,2.2326449010387e-08,0.02625,0.00025,0
53,5.5179091271513e-08,0.02675,0.00025,0
54,7.7807412611477e-08,0.02725,0.00025,0
55,8.3470205903528e-08,0.02775,0.00025,0
56,7.1540115765014e-08,0.02825,0.00025,0
57,4.7814016211254e-08,0.02875,0.00025,0
58,2.2356207392908e-08,0.02925,0.00025,0
59,5.6119386430963e-09,0.02975,0.00025,0
60,2.2025970358815e-08,0.00025,0.00075,0
61,3.0986345068572e-08,0.00075,0.00075,0
62,4.388818474123e-08,0.00125,0.00075,0
63,5.4767634337719e-08,0.00175,0.00075,0
64,5.8174486022084e-08,0.00225,0.00075,0
65,5.1458906924326e-08,0.00275,0.00075,0
66,3.5917883320929e-08,0.00325,0.00075,0
67,1.638391515863e-08,0.00375,0.00075,0
68,-4.9865687240112e-10,0.00425,0.00075,0
69,-8.5534944219648e-09,0.00475,0.00075,0
70,-4.0057616074741e-09,0.00525,0.00075,0
71,1.3583915853703e-08,0.00575,0.00075,0
72,4.1543685016151e-08,0.00625,0.00075,0
73,7.5138382602747e-08,0.00675,0.00075,0
74,1.0883480525763e-07,0.00725,0.00075,0
75,1.3722227656382e-07,0.00775,0.00075,0
76,1.5532629164881e-07,0.00825,0.00075,0
77,1.5843821635331e-07,0.00875,0.00075,0
78,1.4186655078712e-07,0.00925,0.00075,0
79,1.0107916763556e-07,0.00975,0.00075,0
80,3.2552592139946e-08,0.01025,0.00075,0
81,-6.4625979745415e-08,0.01075,0.00075,0
82,-1.866116821729e-07,0.01125,0.00075,0
83,-3.2247845321027e-07,0.01175,0.00075,0
84,-4.521371281867e-07,0.01225,0.00075,0
85,-5.4507946241353e-07,0.01275,0.00075,0
86,-5.6033958111217e-07,0.01325,0.00075,0
87,-4.4979237674483e-07,0.01375,0.00075,0
88,-1.6189444695102e-07,0.01425,0.00075,0
89,3.4430088829324e-07,0.01475,0.00075,0
90,3.4430088829324e-07,0.01525,0.00075,0
91,-1.6189444695102e-07,0.01575,0.00075,0
92,-4.4979237674483e-07,0.01625,0.00075,0
93,-5.6033958111217e-07,0.01675,0.00075,0
94,-5.4507946241353e-07,0.01725,0.00075,0
95,-4.5213712818669e-07,0.01775,0.00075,0
96,-3.2247845321027e-07,0.01825,0.00075,0
97,-1.866116821729e-07,0.01875,0.00075,0
98,-6.4625979745416e-08,0.01925,0.00075,0
99,3.2552592139945e-08,0.01975,0.00075,0
100,1.0107916763556e-07,0.02025,0.00075,0
101,1.4186655078712e-07,0.02075,0.00075,0
102,1.5843821635331e-07,0.02125,0.00075,0
103,1.5532629164881e-07,0.02175,0.00075,0
104,1.3722227656382e-07,0.02225,0.00075,0
105,1.0883480525763e-07,0.02275,0.00075,0
106,7.5138382602748e-08,0.02325,0.00075,0
107,4.1543685016151e-08,0.02375,0.00075,0
108,1.3583915853703e-08,0.02425,0.00075,0
109,-4.0057616074737e-09,0.02475,0.00075,0
110,-8.5534944219647e-09,0.02525,0.00075,0
111,-4.9865687240132e-10,0.02575,0.00075,0
112,1.638391515863e-08,0.02625,0.00075,0
113,3.5917883320929e-08,0.02675,0.00075,0
114,5.1458906924325e-08,0.02725,0.00075,0
115,5.8174486022084e-08,0.02775,0.00075,0
116,5.4767634337718e-08,0.02825,0.00075,0
117,4.388818474123e-08,0.02875,0.00075,0
118,3.0986345068572e-08,0.02925,0.00075,0
119,2.2025970358815e-08,0.02975,0.00075,0
120,4.529562420558e-08,0.00025,0.00125,0
121,4.1832822772312e-08,0.00075,0.00125,0
122,3.5315315860817e-08,0.00125,0.00125,0
123,2.7308418134849e-08,0.00175,0.00125,0
124,1.9760789326741e-08,0.00225,0.00125,0
125,1.4518682251404e-08,0.00275,0.00125,0
126,1.2905928232281e-08,0.00325,0.00125,0
127,1.5478329350545e-08,0.00375,0.00125,0
128,2.1985722968565e-08,0.00425,0.00125,0
129,3.1500141675353e-08,0.00475,0.00125,0
130,4.2625183881045e-08,0.00525,0.00125,0
131,5.3702630926588e-08,0.00575,0.00125,0
132,6.2968885185975e-08,0.00625,0.00125,0
133,6.8663001884161e-08,0.00675,0.00125,0
134,6.9124464726676e-08,0.00725,0.00125,0
135,6.2925257086901e-08,0.00775,0.00125,0
136,4.9054794241385e-08,0.00825,0.00125,0
137,2.7131468343319e-08,0.00875,0.00125,0
138,-2.4234315233555e-09,0.00925,0.00125,0
139,-3.8316543139108e-08,0.00975,0.00125,0
140,-7.8436875214506e-08,0.01025,0.00125,0
141,-1.1996565564129e-07,0.01075,0.00125,0
142,-1.593960632781e-07,0.01125,0.00125,0
143,-1.9231940952651e-07,0.01175,0.00125,0
144,-2.1297430843481e-07,0.01225,0.00125,0
145,-2.1378837389775e-07,0.01275,0.00125,0
146,-1.8542347211069e-07,0.01325,0.00125,0
147,-1.1745624264273e-07,0.01375,0.00125,0
148,3.3503702157933e-10,0.01425,0.00125,0
149,1.7692776205083e-07,0.01475,0.00125,0
150,1.7692776205083e-07,0.01525,0.00125,0
151,3.3503702158083e-10,0.01575,0.00125,0
152,-1.1745624264273e-07,0.01625,0.00125,0
153,-1.8542347211069e-07,0.01675,0.00125,0
