id,ur,x,y,z
0,9.8436338634175e-06,0.015,0.0005,0
0.0005,1.4773702909365e-05,0.015,0.001,0
0.001,1.9354847844929e-05,0.015,0.0015,0
0.0015,2.3463758015098e-05,0.015,0.002,0
0.002,2.6986763273417e-05,0.015,0.0025,0
0.0025,2.9822424896307e-05,0.015,0.003,0
0.003,3.1884016351981e-05,0.015,0.0035,0
0.0035,3.3101953331424e-05,0.015,0.004,0
0.004,3.34263313702e-05,0.015,0.0045,0
0.0045,3.2829919112014e-05,0.015,0.005,0
0.005,3.1312342750174e-05,0.015,0.0055,0
0.0055,2.8906930624156e-05,0.015,0.006,0
0.006,2.5694488064483e-05,0.015,0.0065,0
0.0065,2.1828951051153e-05,0.015,0.007,0
0.007,1.7701877604032e-05,0.015,0.0075,0
0.0075,1.373252255824e-05,0.015,0.008,0
0.008,1.0632748705849e-05,0.015,0.0085,0
0.0085,7.5635814052796e-06,0.015,0.009,0
0.009,6.3310881651868e-06,0.015,0.0095,0
0.0095,4.6893167721532e-06,0.015,0.01,0
0.01,2.5116258647547e-06,0.015,0.0105,0
0.0105,3.2884932434875e-07,0.015,0.011,0
0.011,-2.1232797128417e-06,0.015,0.0115,0
0.0115,-4.168707926396e-06,0.015,0.012,0
0.012,-7.3556128192951e-06,0.015,0.0125,0
0.0125,-1.019528761523e-05,0.015,0.013,0
0.013,-1.3512356489252e-05,0.015,0.0135,0
0.0135,-1.680680728627e-05,0.015,0.014,0
0.014,-2.0197033851922e-05,0.015,0.0145,0
0.0145,-2.3706667500129e-05,0.015,0.015,0
0.015,-2.6443900775818e-05,0.015,0.0155,0
0.0155,-2.9046335356639e-05,0.015,0.016,0
0.016,-3.0129003961337e-05,0.015,0.0165,0
0.0165,-3.0926769211618e-05,0.015,0.017,0
0.017,-3.0794731325971e-05,0.015,0.0175,0
0.0175,-3.0383328477658e-05,0.015,0.018,0
0.018,-2.956315366522e-05,0.015,0.0185,0
0.0185,-2.8337925996313e-05,0.015,0.019,0
0.019,-2.678492165396e-05,0.015,0.0195,0
0.0195,-2.4920347079741e-05,0.015,0.02,0
