id,ui,x,y,z
0,1.2982081398029e-05,0.015,0.0005,0
0.0005,2.6844488997962e-05,0.015,0.001,0
0.001,4.0247446610508e-05,0.015,0.0015,0
0.0015,5.2952526207255e-05,0.015,0.002,0
0.002,6.4731323108324e-05,0.015,0.0025,0
0.0025,7.5368960085613e-05,0.015,0.003,0
0.003,8.4667565334702e-05,0.015,0.0035,0
0.0035,9.2449825064089e-05,0.015,0.004,0
0.004,9.8562848971722e-05,0.015,0.0045,0
0.0045,0.00010288285328453,0.015,0.005,0
0.005,0.00010532170820415,0.015,0.0055,0
0.0055,0.00010583741278902,0.015,0.006,0
0.006,0.00010445425314645,0.015,0.0065,0
0.0065,0.00010129942028962,0.015,0.007,0
0.007,9.6817895262459e-05,0.015,0.0075,0
0.0075,9.1518436938377e-05,0.015,0.008,0
0.008,8.7299102437717e-05,0.015,0.0085,0
0.0085,8.2438136956904e-05,0.015,0.009,0
0.009,8.0252250189361e-05,0.015,0.0095,0
0.0095,7.7350896524596e-05,0.015,0.01,0
0.01,7.3251295880928e-05,0.015,0.0105,0
0.0105,6.8954870402813e-05,0.015,0.011,0
0.011,6.3425941474017e-05,0.015,0.0115,0
0.0115,5.8029648555762e-05,0.015,0.012,0
0.012,5.1269853920085e-05,0.015,0.0125,0
0.0125,4.4552822347168e-05,0.015,0.013,0
0.013,3.5891506122486e-05,0.015,0.0135,0
0.0135,2.6820525002805e-05,0.015,0.014,0
0.014,1.6786058910596e-05,0.015,0.0145,0
0.0145,5.8755179215405e-06,0.015,0.015,0
0.015,-4.7114009326211e-06,0.015,0.0155,0
0.0155,-1.6165498435066e-05,0.015,0.016,0
0.016,-2.5484405255303e-05,0.015,0.0165,0
0.0165,-3.5184493781998e-05,0.015,0.017,0
0.017,-4.3015754317662e-05,0.015,0.0175,0
0.0175,-5.0620511269825e-05,0.015,0.018,0
0.018,-5.7991664951456e-05,0.015,0.0185,0
0.0185,-6.4820256826329e-05,0.015,0.019,0
0.019,-7.1328255635665e-05,0.015,0.0195,0
0.0195,-7.6871960974294e-05,0.015,0.02,0
