id,ui,x,y,z
0,3.7586227619185e-09,0.015,0.0005,0
0.0005,8.4056402834053e-09,0.015,0.001,0
0.001,1.2697653291046e-08,0.015,0.0015,0
0.0015,1.4123658366145e-08,0.015,0.002,0
0.002,9.5912967313143e-09,0.015,0.0025,0
0.0025,-2.5091893064948e-09,0.015,0.003,0
0.003,-2.00646191615e-08,0.015,0.0035,0
0.0035,-3.6187999889648e-08,0.015,0.004,0
0.004,-4.0641037635075e-08,0.015,0.0045,0
0.0045,-2.4187852911378e-08,0.015,0.005,0
0.005,1.5150849789697e-08,0.015,0.0055,0
0.0055,6.6649002872198e-08,0.015,0.006,0
0.006,1.0596222261068e-07,0.015,0.0065,0
0.0065,1.0190810974346e-07,0.015,0.007,0
0.007,3.1462207212444e-08,0.015,0.0075,0
0.0075,-1.0072306995635e-07,0.015,0.008,0
0.008,-1.3922317396668e-07,0.015,0.0085,0
0.0085,-1.7319964659288e-07,0.015,0.009,0
0.009,-1.8603342638921e-07,0.015,0.0095,0
0.0095,-1.7913389126298e-07,0.015,0.01,0
0.01,-1.5025879219746e-07,0.015,0.0105,0
0.0105,-1.0005487432479e-07,0.015,0.011,0
0.011,-2.8272155875209e-08,0.015,0.0115,0
0.0115,5.5524957805977e-08,0.015,0.012,0
0.012,1.6629757907567e-07,0.015,0.0125,0
0.0125,2.6388982390237e-07,0.015,0.013,0
0.013,3.7766010904079e-07,0.015,0.0135,0
0.0135,4.2551885990675e-07,0.015,0.014,0
0.014,4.3990860899672e-07,0.015,0.0145,0
0.0145,2.9888843019012e-07,0.015,0.015,0
0.015,-2.5315792183314e-08,0.015,0.0155,0
0.0155,-5.8350607639151e-07,0.015,0.016,0
0.016,-1.2911375582753e-06,0.015,0.0165,0
0.0165,-2.0290069169431e-06,0.015,0.017,0
0.017,-2.2587034950257e-06,0.015,0.0175,0
0.0175,-2.134291628225e-06,0.015,0.018,0
0.018,-1.4685144849385e-06,0.015,0.0185,0
0.0185,-3.6381010259379e-07,0.015,0.019,0
0.019,1.1615554148321e-06,0.015,0.0195,0
0.0195,2.8972274695337e-06,0.015,0.02,0
