id,uxr,x,y,z
14415,-0.040576482630821,0,0,0.015
14416,-0.086895530354642,0.001,0,0.015
14417,-0.12652711665057,0.001,0.001,0.015
14418,-0.11829676766183,0,0.001,0.015
14419,-0.13890760105765,0.002,0,0.015
14420,0.00012164100604487,0.002,0.001,0.015
14421,-0.077022675770505,0.003,0,0.015
14422,0.10206678547856,0.003,0.001,0.015
14423,-0.059251923368474,0.004,0,0.015
14424,0.28931498689039,0.004,0.001,0.015
14425,0.10039797119362,0.005,0,0.015
14426,0.32049201438793,0.005,0.001,0.015
14427,0.12340373227842,0.006,0,0.015
14428,0.44347848462272,0.006,0.001,0.015
14429,0.30156724916276,0.007,0,0.015
14430,0.34856429226952,0.007,0.001,0.015
14431,0.26974949549667,0.008,0,0.015
14432,0.41406147458958,0.008,0.001,0.015
14433,0.42496364653629,0.009,0,0.015
14434,0.2506188770109,0.009,0.001,0.015
14435,0.33296678034961,0.01,0,0.015
14436,0.31649506086373,0.01,0.001,0.015
14437,0.46924049789398,0.011,0,0.015
14438,0.1380304332774,0.011,0.001,0.015
14439,0.3420688331586,0.012,0,0.015
14440,0.22468752147454,0.012,0.001,0.015
14441,0.4743781914617,0.013,0,0.015
14442,0.050721767110986,0.013,0.001,0.015
14443,0.33495274506872,0.014,0,0.015
14444,0.16457811841283,0.014,0.001,0.015
14445,0.47258519705916,0.015,0,0.015
14446,0.014695862053944,0.015,0.001,0.015
14447,0.33495274506861,0.016,0,0.015
14448,0.16457811841293,0.016,0.001,0.015
14449,0.47437819146189,0.017,0,0.015
14450,0.050721767110859,0.017,0.001,0.015
14451,0.34206883315862,0.018,0,0.015
14452,0.22468752147462,0.018,0.001,0.015
14453,0.46924049789423,0.019,0,0.015
14454,0.13803043327734,0.019,0.001,0.015
14455,0.33296678034992,0.02,0,0.015
14456,0.31649506086378,0.02,0.001,0.015
14457,0.42496364653655,0.021,0,0.015
14458,0.25061887701096,0.021,0.001,0.015
14459,0.26974949549674,0.022,0,0.015
14460,0.41406147458961,0.022,0.001,0.015
14461,0.3015672491629,0.023,0,0.015
14462,0.3485642922695,0.023,0.001,0.015
14463,0.12340373227842,0.024,0,0.015
14464,0.44347848462267,0.024,0.001,0.015
14465,0.10039797119361,0.025,0,0.015
14466,0.32049201438782,0.025,0.001,0.015
14467,-0.059251923368433,0.026,0,0.015
14468,0.28931498689034,0.026,0.001,0.015
14469,-0.077022675770396,0.027,0,0.015
14470,0.10206678547859,0.027,0.001,0.015
14471,-0.13890760105757,0.028,0,0.015
14472,0.00012164100613264,0.028,0.001,0.015
14473,-0.086895530354649,0.029,0,0.015
14474,-0.12652711665049,0.029,0.001,0.015
14475,-0.040576482630826,0.03,0,0.015
14476,-0.11829676766179,0.03,0.001,0.015
14477,-0.025374744445467,0.001,0.002,0.015
14478,-0.11119931201747,0,0.002,0.015
14479,0.11475359511564,0.002,0.002,0.015
14480,0.32391285053063,0.003,0.002,0.015
14481,0.38077425139756,0.004,0.002,0.015
14482,0.46934547325453,0.005,0.002,0.015
14483,0.32202719940388,0.006,0.002,0.015
14484,0.29218132073536,0.007,0.002,0.015
14485,0.041931206034264,0.008,0.002,0.015
14486,0.021860855432924,0.009,0.002,0.015
14487,-0.21566614310923,0.01,0.002,0.015
14488,-0.17256550893706,0.011,0.002,0.015
14489,-0.37866158679035,0.012,0.002,0.015
14490,-0.29008345056793,0.013,0.002,0.015
14491,-0.46765503568435,0.014,0.002,0.015
14492,-0.33468858766682,0.015,0.002,0.015
14493,-0.46765503568434,0.016,0.002,0.015
14494,-0.29008345056788,0.017,0.002,0.015
14495,-0.37866158679064,0.018,0.002,0.015
14496,-0.17256550893705,0.019,0.002,0.015
14497,-0.2156661431091,0.02,0.002,0.015
14498,0.021860855433072,0.021,0.002,0.015
14499,0.041931206034265,0.022,0.002,0.015
14500,0.29218132073525,0.023,0.002,0.015
14501,0.32202719940388,0.024,0.002,0.015
14502,0.46934547325453,0.025,0.002,0.015
14503,0.3807742513976,0.026,0.002,0.015
14504,0.32391285053064,0.027,0.002,0.015
14505,0.1147535951156,0.028,0.002,0.015
14506,-0.025374744445429,0.029,0.002,0.015
14507,-0.11119931201744,0.03,0.002,0.015
14508,0.094637306925557,0.001,0.003,0.015
14509,0.00092085030877136,0,0.003,0.015
14510,0.25762760600646,0.002,0.003,0.015
14511,0.305339718838,0.003,0.003,0.015
14512,0.35577921543555,0.004,0.003,0.015
14513,0.17927384464037,0.005,0.003,0.015
14514,0.09196646431217,0.006,0.003,0.015
14515,-0.20070414534893,0.007,0.003,0.015
14516,-0.26131807182988,0.008,0.003,0.015
14517,-0.51199808089035,0.009,0.003,0.015
14518,-0.46343544616945,0.01,0.003,0.015
14519,-0.65535887998083,0.011,0.003,0.015
14520,-0.54681791606427,0.012,0.003,0.015
14521,-0.72387868462084,0.013,0.003,0.015
14522,-0.59384560130891,0.014,0.003,0.015
14523,-0.75294713458434,0.015,0.003,0.015
14524,-0.59384560130892,0.016,0.003,0.015
14525,-0.72387868462081,0.017,0.003,0.015
14526,-0.54681791606405,0.018,0.003,0.015
14527,-0.65535887998069,0.019,0.003,0.015
14528,-0.46343544616956,0.02,0.003,0.015
14529,-0.5119980808906,0.021,0.003,0.015
14530,-0.26131807182997,0.022,0.003,0.015
14531,-0.20070414534899,0.023,0.003,0.015
14532,0.091966464312077,0.024,0.003,0.015
14533,0.17927384464032,0.025,0.003,0.015
14534,0.35577921543545,0.026,0.003,0.015
14535,0.30533971883789,0.027,0.003,0.015
14536,0.25762760600636,0.028,0.003,0.015
14537,0.094637306925513,0.029,0.003,0.015
14538,0.00092085030873377,0.03,0.003,0.015
14539,0.22181629512383,0.001,0.004,0.015
14540,0.10246132650349,0,0.004,0.015
14541,0.22550422695205,0.002,0.004,0.015
14542,0.20506302937112,0.003,0.004,0.015
14543,-0.0074629082238501,0.004,0.004,0.015
14544,-0.13120233053583,0.005,0.004,0.015
14545,-0.41575268437278,0.006,0.004,0.015
14546,-0.44887875988702,0.007,0.004,0.015
14547,-0.63404111413849,0.008,0.004,0.015
14548,-0.50108540478188,0.009,0.004,0.015
14549,-0.60408496606416,0.01,0.004,0.015
14550,-0.40389111496984,0.011,0.004,0.015
14551,-0.52401321990831,0.012,0.004,0.015
14552,-0.34708674941959,0.013,0.004,0.015
14553,-0.50302236600692,0.014,0.004,0.015
14554,-0.34310461927119,0.015,0.004,0.015
14555,-0.50302236600673,0.016,0.004,0.015
14556,-0.34708674941956,0.017,0.004,0.015
14557,-0.52401321990821,0.018,0.004,0.015
14558,-0.40389111496965,0.019,0.004,0.015
14559,-0.60408496606417,0.02,0.004,0.015
14560,-0.501085404782,0.021,0.004,0.015
14561,-0.63404111413855,0.022,0.004,0.015
14562,-0.44887875988703,0.023,0.004,0.015
