id,u,x,y,z
430,217.11416402307,0.26,0.04,0
431,224.78875590057,0.27,0.04,0
432,232.43985152415,0.28,0.04,0
433,240.07231112665,0.29,0.04,0
434,247.68958594666,0.3,0.04,0
435,255.29329212511,0.31,0.04,0
436,262.88289104498,0.32,0.04,0
437,270.45547440624,0.33,0.04,0
438,278.00577696951,0.34,0.04,0
439,285.52642109832,0.35,0.04,0
440,293.00840466685,0.36,0.04,0
441,300.44183977437,0.37,0.04,0
442,307.81688962495,0.38,0.04,0
443,315.12483017417,0.39,0.04,0
444,322.3591185789,0.4,0.04,0
445,329.51632331017,0.41,0.04,0
446,336.59694695712,0.42,0.04,0
447,343.60592577482,0.43,0.04,0
448,350.55280972084,0.44,0.04,0
449,357.45167430199,0.45,0.04,0
450,364.32066335079,0.46,0.04,0
451,371.18127653545,0.47,0.04,0
452,378.05732096991,0.48,0.04,0
453,384.9735578625,0.49,0.04,0
454,391.95401908227,0.5,0.04,0
455,399.02002116436,0.51,0.04,0
456,406.18797149871,0.52,0.04,0
457,413.46722046852,0.53,0.04,0
458,420.85834764204,0.54,0.04,0
459,428.35251274889,0.55,0.04,0
460,435.93218356033,0.56,0.04,0
461,443.57330188211,0.57,0.04,0
462,451.24823442741,0.58,0.04,0
463,458.92847233182,0.59,0.04,0
464,466.58634496813,0.6,0.04,0
465,474.19579602121,0.61,0.04,0
466,481.73318803247,0.62,0.04,0
467,489.17913038201,0.63,0.04,0
468,496.52153348528,0.64,0.04,0
469,503.75887276986,0.65,0.04,0
470,510.90197085848,0.66,0.04,0
471,517.97309484443,0.67,0.04,0
472,525.00214241843,0.68,0.04,0
473,532.0208715116,0.69,0.04,0
474,539.05699582894,0.7,0.04,0
475,546.13017447281,0.71,0.04,0
476,553.25132748828,0.72,0.04,0
477,560.42548154911,0.73,0.04,0
478,567.65682188463,0.74,0.04,0
479,574.9537124091,0.75,0.04,0
480,582.33193903281,0.76,0.04,0
481,589.81535641908,0.77,0.04,0
482,597.43424425198,0.78,0.04,0
483,605.22191078198,0.79,0.04,0
484,613.21018408636,0.8,0.04,0
485,621.42428893417,0.81,0.04,0
486,629.87785886099,0.82,0.04,0
487,638.56914925833,0.83,0.04,0
488,647.47994360066,0.84,0.04,0
