id,uxi,x,y,z
0,0.074720076325603,0.015,0.001,0
0.001,0.13754752129705,0.015,0.002,0
0.002,0.12890920385032,0.015,0.003,0
0.003,0.042317866905295,0.015,0.004,0
0.004,-0.082637796460022,0.015,0.005,0
0.005,-0.18995682690061,0.015,0.006,0
0.006,-0.23304775037969,0.015,0.007,0
0.007,-0.20378725238156,0.015,0.008,0
0.008,-0.11875289113676,0.015,0.009,0
0.009,-0.0090786257666453,0.015,0.01,0
0.01,0.11868324055961,0.015,0.011,0
0.011,0.26706651645513,0.015,0.012,0
0.012,0.45322302511529,0.015,0.013,0
0.013,0.66153129163034,0.015,0.014,0
0.014,0.85550995438596,0.015,0.015,0
0.015,0.96407994186551,0.015,0.016,0
0.016,0.9474627267673,0.015,0.017,0
0.017,0.77754858337409,0.015,0.018,0
0.018,0.51397798857107,0.015,0.019,0
0.019,0.20926112967892,0.015,0.02,0
0.02,-0.006144184532228,0.015,0.021,0
0.021,-0.17002014684857,0.015,0.022,0
