x,y,z,value
0.015,0.0005,0,-50.9650357231868
0.015,0.001,0,-76.994904864498
0.015,0.0015,0,-69.7851925639258
0.015,0.002,0,-27.5568511838973
0.015,0.0025,0,38.1583359612152
0.015,0.003,0,104.213709688259
0.015,0.0035,0,141.821989073589
0.015,0.004,0,126.198500697578
0.015,0.0045,0,47.9036305151109
0.015,0.005,0,-77.3292291526478
0.015,0.0055,0,-186.798683921939
0.015,0.006,0,-234.804507366179
0.015,0.0065,0,-108.950595507478
0.015,0.007,0,91.0851158357079
0.015,0.0075,0,95.4459837433197
0.015,0.008,0,120.262082633923
0.015,0.0085,0,90.7401153094572
0.015,0.009,0,159.08191817659
0.015,0.0095,0,355.292275874507
0.015,0.01,0,400.415950747053
0.015,0.0105,0,370.26488153815
0.015,0.011,0,243.550932256624
0.015,0.0115,0,270.956403892865
0.015,0.012,0,302.157668132255
0.015,0.0125,0,5.15643754840175
0.015,0.013,0,-223.836881090338
0.015,0.0135,0,-247.846732171969
0.015,0.014,0,-127.567486615
0.015,0.0145,0,-199.467944900191
0.015,0.015,0,-64.9407861050495
0.015,0.0155,0,-105.9444451053
0.015,0.016,0,-26.5653053582082
0.015,0.0165,0,-197.745844475671
0.015,0.017,0,-171.595023630178
0.015,0.0175,0,-401.267019445066
0.015,0.018,0,51.8089128139836
0.015,0.0185,0,-561.389158837675
0.015,0.019,0,0.906561148269247
0.015,0.0195,0,-315.731074476033
0.015,0.02,0,642.282283034296
