id,ur,x,y,z
0,-1.9821308434243e-08,0.015,0.0005,0
0.0005,-2.6635203751833e-08,0.015,0.001,0
0.001,-1.7196452224361e-08,0.015,0.0015,0
0.0015,8.2102167863159e-09,0.015,0.002,0
0.002,4.223691816827e-08,0.015,0.0025,0
0.0025,7.1880483099149e-08,0.015,0.003,0
0.003,8.2115279695693e-08,0.015,0.0035,0
0.0035,6.1077014828061e-08,0.015,0.004,0
0.004,5.4544659749303e-09,0.015,0.0045,0
0.0045,-7.5726329080748e-08,0.015,0.005,0
0.005,-1.6077221425541e-07,0.015,0.0055,0
0.0055,-2.1969235822154e-07,0.015,0.006,0
0.006,-2.2328978587955e-07,0.015,0.0065,0
0.0065,-1.5525149390282e-07,0.015,0.007,0
0.007,-2.7528186712545e-08,0.015,0.0075,0
0.0075,1.231528651415e-07,0.015,0.008,0
0.008,2.1722689523405e-07,0.015,0.0085,0
0.0085,2.917163204989e-07,0.015,0.009,0
0.009,3.0693136276199e-07,0.015,0.0095,0
0.0095,3.1547638219824e-07,0.015,0.01,0
0.01,3.027392021803e-07,0.015,0.0105,0
0.0105,2.6438380996011e-07,0.015,0.011,0
0.011,1.6154712878637e-07,0.015,0.0115,0
0.0115,1.3803322010469e-08,0.015,0.012,0
0.012,-1.4817788730939e-07,0.015,0.0125,0
0.0125,-3.5271753574789e-07,0.015,0.013,0
0.013,-6.5044567286114e-07,0.015,0.0135,0
0.0135,-9.5659696185969e-07,0.015,0.014,0
0.014,-1.2390628381599e-06,0.015,0.0145,0
0.0145,-1.4235920891218e-06,0.015,0.015,0
0.015,-1.3722945853899e-06,0.015,0.0155,0
0.0155,-1.0396378501161e-06,0.015,0.016,0
0.016,-3.1326129565188e-07,0.015,0.0165,0
0.0165,7.0521212824313e-07,0.015,0.017,0
0.017,1.7968986890086e-06,0.015,0.0175,0
0.0175,2.8723740585035e-06,0.015,0.018,0
0.018,3.7652773504221e-06,0.015,0.0185,0
0.0185,4.2733346578553e-06,0.015,0.019,0
0.019,4.3948065927588e-06,0.015,0.0195,0
0.0195,3.8659857736984e-06,0.015,0.02,0
