id,ui,x,y,z
0,1.6707924374529e-08,0.015,0.0005,0
0.0005,2.2826980121459e-08,0.015,0.001,0
0.001,1.4856144435498e-08,0.015,0.0015,0
0.0015,-6.5787267448963e-09,0.015,0.002,0
0.002,-3.4198229498029e-08,0.015,0.0025,0
0.0025,-5.5501286228186e-08,0.015,0.003,0
0.003,-5.6711698240325e-08,0.015,0.0035,0
0.0035,-2.8619463672417e-08,0.015,0.004,0
0.004,2.7360956711946e-08,0.015,0.0045,0
0.0045,9.548109518184e-08,0.015,0.005,0
0.005,1.4703683453469e-07,0.015,0.0055,0
0.0055,1.4854600014628e-07,0.015,0.006,0
0.006,7.6059057009783e-08,0.015,0.0065,0
0.0065,-6.8339700766758e-08,0.015,0.007,0
0.007,-2.4477989191843e-07,0.015,0.0075,0
0.0075,-3.7669431364171e-07,0.015,0.008,0
0.008,-3.5010984866702e-07,0.015,0.0085,0
0.0085,-2.7198774374247e-07,0.015,0.009,0
0.009,-1.6778748400234e-07,0.015,0.0095,0
0.0095,-2.7974164671396e-08,0.015,0.01,0
0.01,1.0530238432512e-07,0.015,0.0105,0
0.0105,2.4609572978519e-07,0.015,0.011,0
0.011,3.878498956014e-07,0.015,0.0115,0
0.0115,5.042870476566e-07,0.015,0.012,0
0.012,6.1298010776315e-07,0.015,0.0125,0
0.0125,6.5237472837214e-07,0.015,0.013,0
0.013,6.3759062257378e-07,0.015,0.0135,0
0.0135,4.9865535600085e-07,0.015,0.014,0
0.014,2.2542041436837e-07,0.015,0.0145,0
0.0145,-2.1928059205938e-07,0.015,0.015,0
0.015,-8.9056538688286e-07,0.015,0.0155,0
0.0155,-1.6737203775595e-06,0.015,0.016,0
0.016,-2.3375642320356e-06,0.015,0.0165,0
0.0165,-2.7350013119385e-06,0.015,0.017,0
0.017,-2.39070732912e-06,0.015,0.0175,0
0.0175,-1.5327775737978e-06,0.015,0.018,0
0.018,-2.364509520873e-07,0.015,0.0185,0
0.0185,1.4137065456213e-06,0.015,0.019,0
0.019,3.3138870716048e-06,0.015,0.0195,0
0.0195,5.13542375176e-06,0.015,0.02,0
