id,strain_stress,x,y,z
122,-0.004714792746663,0.00125,0.00125,0
123,-0.00084178954100202,0.00175,0.00125,0
124,0.0046772415447401,0.00225,0.00125,0
125,0.0097286532575987,0.00275,0.00125,0
126,0.012286070860047,0.00325,0.00125,0
127,0.011013577789165,0.00375,0.00125,0
128,0.0057220402749818,0.00425,0.00125,0
129,-0.0025732819171004,0.00475,0.00125,0
130,-0.011911437240742,0.00525,0.00125,0
131,-0.019919664281651,0.00575,0.00125,0
132,-0.024431827962613,0.00625,0.00125,0
133,-0.024072864495582,0.00675,0.00125,0
134,-0.018636753660964,0.00725,0.00125,0
135,-0.0091869696266188,0.00775,0.00125,0
136,0.0022697461013876,0.00825,0.00125,0
137,0.013341470511529,0.00875,0.00125,0
138,0.022066817842542,0.00925,0.00125,0
139,0.027442491944926,0.00975,0.00125,0
140,0.029731462019881,0.01025,0.00125,0
141,0.030111554192896,0.01075,0.00125,0
142,0.030088276811841,0.01125,0.00125,0
143,0.030686340414572,0.01175,0.00125,0
144,0.031880454297705,0.01225,0.00125,0
145,0.032484706231197,0.01275,0.00125,0
146,0.030654091194031,0.01325,0.00125,0
147,0.025398913508139,0.01375,0.00125,0
148,0.020576630176962,0.01425,0.00125,0
149,0.0088933249798684,0.01475,0.00125,0
150,0.0088933249798765,0.01525,0.00125,0
151,0.020576630176967,0.01575,0.00125,0
152,0.025398913508103,0.01625,0.00125,0
153,0.030654091193988,0.01675,0.00125,0
154,0.032484706231158,0.01725,0.00125,0
155,0.031880454297661,0.01775,0.00125,0
156,0.030686340414522,0.01825,0.00125,0
157,0.030088276811786,0.01875,0.00125,0
158,0.03011155419286,0.01925,0.00125,0
159,0.029731462019874,0.01975,0.00125,0
160,0.027442491944946,0.02025,0.00125,0
161,0.022066817842584,0.02075,0.00125,0
162,0.013341470511569,0.02125,0.00125,0
163,0.0022697461014285,0.02175,0.00125,0
164,-0.0091869696265816,0.02225,0.00125,0
165,-0.018636753660931,0.02275,0.00125,0
166,-0.024072864495564,0.02325,0.00125,0
167,-0.024431827962609,0.02375,0.00125,0
