id,uxr,x,y,z
2048,0.14742406745012,0,0,0.016
2049,0.0056685318399741,0.002,0,0.016
2050,-0.51314785705417,0.002,0.002,0.016
2051,-0.11942688908389,0,0.002,0.016
2052,-0.41118512776577,0.004,0,0.016
2053,-0.81271166089751,0.004,0.002,0.016
2054,-0.83607262074552,0.006,0,0.016
2055,-1.0314829741424,0.006,0.002,0.016
2056,-1.3424747534272,0.008,0,0.016
2057,-0.96604333309287,0.008,0.002,0.016
2058,-1.6553426193265,0.01,0,0.016
2059,-0.87105141991244,0.01,0.002,0.016
2060,-1.974164854088,0.012,0,0.016
2061,-0.64028479045358,0.012,0.002,0.016
2062,-2.0661132399502,0.014,0,0.016
2063,-0.62848782851869,0.014,0.002,0.016
2064,-2.190171750562,0.016,0,0.016
2065,-0.65347756056262,0.016,0.002,0.016
2066,-2.0110016424579,0.018,0,0.016
2067,-1.0050477403409,0.018,0.002,0.016
2068,-1.8564763318782,0.02,0,0.016
2069,-1.1633388468974,0.02,0.002,0.016
2070,-1.3190085393012,0.022,0,0.016
2071,-1.4035161276309,0.022,0.002,0.016
2072,-0.8449478655762,0.024,0,0.016
2073,-1.2076032125188,0.024,0.002,0.016
2074,-0.25215687952175,0.026,0,0.016
2075,-0.91071802198806,0.026,0.002,0.016
2076,0.095278644618871,0.028,0,0.016
2077,-0.37294424692571,0.028,0.002,0.016
2078,0.20728818654295,0.03,0,0.016
2079,0.029957133526047,0.03,0.002,0.016
2080,-0.66778161147119,0.002,0.004,0.016
2081,-0.4345102217523,0,0.004,0.016
2082,-0.701047991885,0.004,0.004,0.016
2083,-0.34263699475,0.006,0.004,0.016
2084,0.16175219615208,0.008,0.004,0.016
2085,0.90603406413366,0.01,0.004,0.016
2086,1.4755352881407,0.012,0.004,0.016
2087,1.8478544872179,0.014,0.004,0.016
2088,1.6398069941581,0.016,0.004,0.016
2089,1.2075134850973,0.018,0.004,0.016
2090,0.3056879217909,0.02,0.004,0.016
2091,-0.29864107169085,0.022,0.004,0.016
2092,-0.83604523118457,0.024,0.004,0.016
2093,-0.85955849928834,0.026,0.004,0.016
