id,ui,x,y,z
0,-2.9889468087747e-09,0.015,0.0005,0
0.0005,-4.2587381212923e-09,0.015,0.001,0
0.001,-2.9353372190167e-09,0.015,0.0015,0
0.0015,1.0051499756726e-09,0.015,0.002,0
0.002,6.1673854317069e-09,0.015,0.0025,0
0.0025,9.8060707133652e-09,0.015,0.003,0
0.003,8.7113599857049e-09,0.015,0.0035,0
0.0035,9.4409504898073e-10,0.015,0.004,0
0.004,-1.2141440740936e-08,0.015,0.0045,0
0.0045,-2.4770185173554e-08,0.015,0.005,0
0.005,-2.7899788303077e-08,0.015,0.0055,0
0.0055,-1.339393108866e-08,0.015,0.006,0
0.006,1.9658572745851e-08,0.015,0.0065,0
0.0065,5.9451167002448e-08,0.015,0.007,0
0.007,8.1244885037031e-08,0.015,0.0075,0
0.0075,5.6465056648267e-08,0.015,0.008,0
0.008,2.4614095867078e-08,0.015,0.0085,0
0.0085,-2.3541869171428e-08,0.015,0.009,0
0.009,-6.8005720490352e-08,0.015,0.0095,0
0.0095,-1.1133199202247e-07,0.015,0.01,0
0.01,-1.3636294092397e-07,0.015,0.0105,0
0.0105,-1.466255175932e-07,0.015,0.011,0
0.011,-1.3803582364985e-07,0.015,0.0115,0
0.0115,-1.075313522988e-07,0.015,0.012,0
0.012,-4.7080261322329e-08,0.015,0.0125,0
0.0125,3.1796565685463e-08,0.015,0.013,0
0.013,1.486125584627e-07,0.015,0.0135,0
0.0135,2.5493053798514e-07,0.015,0.014,0
0.014,3.7708388111806e-07,0.015,0.0145,0
0.0145,4.1449959448751e-07,0.015,0.015,0
0.015,3.5051727422354e-07,0.015,0.0155,0
0.0155,7.5895085101797e-08,0.015,0.016,0
0.016,-4.3902351987486e-07,0.015,0.0165,0
0.0165,-1.1448887488103e-06,0.015,0.017,0
0.017,-1.6453737610478e-06,0.015,0.0175,0
0.0175,-1.9830666619331e-06,0.015,0.018,0
0.018,-1.8472948465991e-06,0.015,0.0185,0
0.0185,-1.2948890266617e-06,0.015,0.019,0
0.019,-2.6412221747389e-07,0.015,0.0195,0
0.0195,1.1701950578224e-06,0.015,0.02,0
