id,integral_strain_stress2,x,y,z
0,-4.120373261667e-08,0.00025,0.00025,0
1,-6.8662005004722e-08,0.00075,0.00025,0
2,9.6971598407045e-08,0.00125,0.00025,0
3,1.5899176397561e-07,0.00175,0.00025,0
4,7.5566521863029e-07,0.00225,0.00025,0
5,1.5520182600783e-06,0.00275,0.00025,0
6,2.604378133529e-06,0.00325,0.00025,0
7,3.4442946329894e-06,0.00375,0.00025,0
8,3.6821463084477e-06,0.00425,0.00025,0
9,3.0097368222779e-06,0.00475,0.00025,0
10,1.3123940625638e-06,0.00525,0.00025,0
11,-1.1952870271303e-06,0.00575,0.00025,0
12,-4.1960967821406e-06,0.00625,0.00025,0
13,-7.1429129728328e-06,0.00675,0.00025,0
14,-9.6075454852214e-06,0.00725,0.00025,0
15,-1.1054611761678e-05,0.00775,0.00025,0
16,-1.1186631550396e-05,0.00825,0.00025,0
17,-9.6558265784079e-06,0.00875,0.00025,0
18,-6.4832793406391e-06,0.00925,0.00025,0
19,-1.8583817533035e-06,0.00975,0.00025,0
20,3.4137483639742e-06,0.01025,0.00025,0
21,8.1816558480542e-06,0.01075,0.00025,0
22,1.09464639249e-05,0.01125,0.00025,0
23,1.0393917771437e-05,0.01175,0.00025,0
24,5.9218597114452e-06,0.01225,0.00025,0
25,-2.2958279401067e-06,0.01275,0.00025,0
26,-1.2898895071788e-05,0.01325,0.00025,0
27,-2.4044315044286e-05,0.01375,0.00025,0
28,-3.4347899705835e-05,0.01425,0.00025,0
29,-4.0629782510539e-05,0.01475,0.00025,0
30,-4.0629782510536e-05,0.01525,0.00025,0
31,-3.4347899705829e-05,0.01575,0.00025,0
32,-2.4044315044282e-05,0.01625,0.00025,0
33,-1.2898895071786e-05,0.01675,0.00025,0
34,-2.295827940107e-06,0.01725,0.00025,0
35,5.9218597114437e-06,0.01775,0.00025,0
36,1.0393917771433e-05,0.01825,0.00025,0
37,1.0946463924895e-05,0.01875,0.00025,0
38,8.1816558480503e-06,0.01925,0.00025,0
39,3.41374836397e-06,0.01975,0.00025,0
40,-1.858381753308e-06,0.02025,0.00025,0
41,-6.4832793406438e-06,0.02075,0.00025,0
42,-9.6558265784111e-06,0.02125,0.00025,0
43,-1.1186631550397e-05,0.02175,0.00025,0
44,-1.1054611761681e-05,0.02225,0.00025,0
45,-9.6075454852205e-06,0.02275,0.00025,0
46,-7.1429129728319e-06,0.02325,0.00025,0
47,-4.1960967821395e-06,0.02375,0.00025,0
48,-1.1952870271287e-06,0.02425,0.00025,0
49,1.3123940625658e-06,0.02475,0.00025,0
50,3.0097368222797e-06,0.02525,0.00025,0
51,3.6821463084496e-06,0.02575,0.00025,0
52,3.4442946329917e-06,0.02625,0.00025,0
53,2.6043781335309e-06,0.02675,0.00025,0
