id,ur,x,y,z
0,-1.0774588718541e-09,0.015,0.0005,0
0.0005,-1.517237500444e-09,0.015,0.001,0
0.001,-9.5993308218141e-10,0.015,0.0015,0
0.0015,6.0711790788265e-10,0.015,0.002,0
0.002,2.579281817226e-09,0.015,0.0025,0
0.0025,3.7370596450812e-09,0.015,0.003,0
0.003,2.6904129198981e-09,0.015,0.0035,0
0.0035,-1.2072799792083e-09,0.015,0.004,0
0.004,-6.8335849500293e-09,0.015,0.0045,0
0.0045,-1.0904556150036e-08,0.015,0.005,0
0.005,-9.0248900031397e-09,0.015,0.0055,0
0.0055,1.5643539276524e-09,0.015,0.006,0
0.006,1.84771807817e-08,0.015,0.0065,0
0.0065,3.2196210471838e-08,0.015,0.007,0
0.007,2.8452741729827e-08,0.015,0.0075,0
0.0075,-3.3823220236902e-09,0.015,0.008,0
0.008,-2.0931222294217e-08,0.015,0.0085,0
0.0085,-4.1880708458898e-08,0.015,0.009,0
0.009,-5.598565604515e-08,0.015,0.0095,0
0.0095,-6.3543863769108e-08,0.015,0.01,0
0.01,-5.9884192204345e-08,0.015,0.0105,0
0.0105,-4.6032149626579e-08,0.015,0.011,0
0.011,-2.1527672481743e-08,0.015,0.0115,0
0.0115,1.0040868114064e-08,0.015,0.012,0
0.012,5.3653213535187e-08,0.015,0.0125,0
0.0125,9.1044661652173e-08,0.015,0.013,0
0.013,1.31043737373e-07,0.015,0.0135,0
0.0135,1.3507415448861e-07,0.015,0.014,0
0.014,1.0753481567963e-07,0.015,0.0145,0
0.0145,5.1838417505276e-10,0.015,0.015,0
0.015,-2.0299525304882e-07,0.015,0.0155,0
0.0155,-4.9207548034271e-07,0.015,0.016,0
0.016,-7.7924119531761e-07,0.015,0.0165,0
0.0165,-9.6178912222287e-07,0.015,0.017,0
0.017,-7.765977974887e-07,0.015,0.0175,0
0.0175,-2.9334388630527e-07,0.015,0.018,0
0.018,4.4331724492916e-07,0.015,0.0185,0
0.0185,1.3379284249614e-06,0.015,0.019,0
0.019,2.2585566204556e-06,0.015,0.0195,0
0.0195,2.9177209579941e-06,0.015,0.02,0
