id,ui,x,y,z
0,-1.8704930762742e-10,0.015,0.0005,0
0.0005,-7.3142270522598e-10,0.015,0.001,0
0.001,-1.4858354315191e-09,0.015,0.0015,0
0.0015,-1.882226922825e-09,0.015,0.002,0
0.002,-1.1499366955366e-09,0.015,0.0025,0
0.0025,1.0899440512375e-09,0.015,0.003,0
0.003,4.1871597171809e-09,0.015,0.0035,0
0.0035,6.253737906206e-09,0.015,0.004,0
0.004,4.8310149668758e-09,0.015,0.0045,0
0.0045,-1.4938969376563e-09,0.015,0.005,0
0.005,-1.1141711620088e-08,0.015,0.0055,0
0.0055,-1.8598367208497e-08,0.015,0.006,0
0.006,-1.5997273690124e-08,0.015,0.0065,0
0.0065,2.1418212979133e-09,0.015,0.007,0
0.007,3.2443475423255e-08,0.015,0.0075,0
0.0075,5.8456541673868e-08,0.015,0.008,0
0.008,5.1829855505213e-08,0.015,0.0085,0
0.0085,3.3453683626953e-08,0.015,0.009,0
0.009,9.7747465543073e-09,0.015,0.0095,0
0.0095,-2.0100239917643e-08,0.015,0.01,0
0.01,-4.5500541483874e-08,0.015,0.0105,0
0.0105,-6.7566198459321e-08,0.015,0.011,0
0.011,-8.2611904774664e-08,0.015,0.0115,0
0.0115,-8.4282982143819e-08,0.015,0.012,0
0.012,-7.0156670335778e-08,0.015,0.0125,0
0.0125,-3.4478176481725e-08,0.015,0.013,0
0.013,2.9340851340763e-08,0.015,0.0135,0
0.0135,1.1146019074786e-07,0.015,0.014,0
0.014,2.2464426024721e-07,0.015,0.0145,0
0.0145,3.2125523327039e-07,0.015,0.015,0
0.015,3.926625156142e-07,0.015,0.0155,0
0.0155,3.3692966302496e-07,0.015,0.016,0
0.016,6.891618301573e-08,0.015,0.0165,0
0.0165,-4.2815214410649e-07,0.015,0.017,0
0.017,-9.5785923966846e-07,0.015,0.0175,0
0.0175,-1.485958020993e-06,0.015,0.018,0
0.018,-1.6966802839056e-06,0.015,0.0185,0
0.0185,-1.5824782524301e-06,0.015,0.019,0
0.019,-1.0244326662469e-06,0.015,0.0195,0
0.0195,2.3431288640451e-08,0.015,0.02,0
