id,uzi,x,y,z
60,-0.20115232188867,0.015,0,0
61,0.30551975750267,0.015,0.001,0
62,0.012740942735595,0.015,0,0.001
63,0.59720005590724,0.015,0.001,0.001
154,0.64790302072151,0.015,0.002,0
155,0.95305293666899,0.015,0.002,0.001
216,0.84057158873041,0.015,0.003,0
217,1.0948580578348,0.015,0.003,0.001
278,0.88423708456416,0.015,0.004,0
279,1.0372501354047,0.015,0.004,0.001
340,0.76777524056532,0.015,0.005,0
341,0.79770958734976,0.015,0.005,0.001
402,0.52249911123003,0.015,0.006,0
403,0.41518927655316,0.015,0.006,0.001
464,0.16545441731397,0.015,0.007,0
465,-0.058372308085356,0.015,0.007,0.001
526,-0.2404555638181,0.015,0.008,0
527,-0.55642190958967,0.015,0.008,0.001
588,-0.66040704219009,0.015,0.009,0
589,-1.0143695425799,0.015,0.009,0.001
650,-1.0210804249745,0.015,0.01,0
651,-1.3684244406577,0.015,0.01,0.001
712,-1.2969734791244,0.015,0.011,0
713,-1.5753131005626,0.015,0.011,0.001
774,-1.4314235889417,0.015,0.012,0
775,-1.6053555874699,0.015,0.012,0.001
836,-1.430978812858,0.015,0.013,0
837,-1.4589581898948,0.015,0.013,0.001
898,-1.2724624873694,0.015,0.014,0
899,-1.1514457115102,0.015,0.014,0.001
960,-0.99758660135823,0.015,0.015,0
961,-0.72315827970151,0.015,0.015,0.001
1022,-0.61487487773833,0.015,0.016,0
1023,-0.21875937682259,0.015,0.016,0.001
1084,-0.18182866609394,0.015,0.017,0
1085,0.30822883877482,0.015,0.017,0.001
1146,0.27661046528562,0.015,0.018,0
1147,0.81452790278738,0.015,0.018,0.001
1208,0.71552016872141,0.015,0.019,0
1209,1.2645758610677,0.015,0.019,0.001
1270,1.10822317763,0.015,0.02,0
1271,1.6385718737305,0.015,0.02,0.001
1332,1.4405232407782,0.015,0.021,0
1333,1.9305369549672,0.015,0.021,0.001
1394,1.6875294264319,0.015,0.022,0
1395,2.1408271470839,0.015,0.022,0.001
1952,0.33737014953585,0.015,0,0.002
1953,0.85513013885681,0.015,0.001,0.002
1999,1.1455424195918,0.015,0.002,0.002
2030,1.1882856836851,0.015,0.003,0.002
2061,1.0075254462571,0.015,0.004,0.002
2092,0.64547893162091,0.015,0.005,0.002
2123,0.16051204813453,0.015,0.006,0.002
2154,-0.3737913488329,0.015,0.007,0.002
2185,-0.88283656419864,0.015,0.008,0.002
2216,-1.29228968323,0.015,0.009,0.002
2247,-1.5490552038473,0.015,0.01,0.002
2278,-1.6149429574375,0.015,0.011,0.002
2309,-1.485881455869,0.015,0.012,0.002
2340,-1.1764357016776,0.015,0.013,0.002
2371,-0.73121817506099,0.015,0.014,0.002
2402,-0.2031071123702,0.015,0.015,0.002
2433,0.34394693494754,0.015,0.016,0.002
2464,0.85625661912457,0.015,0.017,0.002
2495,1.2905328552154,0.015,0.018,0.002
2526,1.6259410441897,0.015,0.019,0.002
2557,1.861679733905,0.015,0.02,0.002
2588,2.0132054165732,0.015,0.021,0.002
2619,2.1075875107195,0.015,0.022,0.002
2913,0.68963097601646,0.015,0,0.003
2914,1.0890468316961,0.015,0.001,0.003
2960,1.2390146556658,0.015,0.002,0.003
2991,1.1395049332339,0.015,0.003,0.003
3022,0.81857606303885,0.015,0.004,0.003
3053,0.34149174350037,0.015,0.005,0.003
3084,-0.2131831233595,0.015,0.006,0.003
3115,-0.75749055822893,0.015,0.007,0.003
3146,-1.2075530314196,0.015,0.008,0.003
3177,-1.4973389945579,0.015,0.009,0.003
3208,-1.5812801357468,0.015,0.01,0.003
3239,-1.4493582034511,0.015,0.011,0.003
3270,-1.1176214754951,0.015,0.012,0.003
3301,-0.63471792263478,0.015,0.013,0.003
3332,-0.0657865651562,0.015,0.014,0.003
3363,0.5129544635607,0.015,0.015,0.003
3394,1.029525659234,0.015,0.016,0.003
3425,1.427782866541,0.015,0.017,0.003
3456,1.6766888830797,0.015,0.018,0.003
3487,1.7765026097954,0.015,0.019,0.003
3518,1.7559967879208,0.015,0.02,0.003
3549,1.6657401796148,0.015,0.021,0.003
3580,1.5634245215696,0.015,0.022,0.003
3874,1.0381680124237,0.015,0,0.004
3875,1.2695692366611,0.015,0.001,0.004
3921,1.2435257844163,0.015,0.002,0.004
3952,0.96684377050927,0.015,0.003,0.004
3983,0.49893803684475,0.015,0.004,0.004
4014,-0.082771642036553,0.015,0.005,0.004
4045,-0.6749418454414,0.015,0.006,0.004
4076,-1.18119225523,0.015,0.007,0.004
4107,-1.5163597114227,0.015,0.008,0.004
4138,-1.6228668504063,0.015,0.009,0.004
4169,-1.4808499057067,0.015,0.01,0.004
4200,-1.1045125492218,0.015,0.011,0.004
4231,-0.5468598127743,0.015,0.012,0.004
