x,y,z,value
0.018,0.014,0.016,-6.36363675460491e-05
0.02,0.014,0.016,-4.96166478390601e-05
0.022,0.014,0.016,7.16345254460058e-05
0.024,0.014,0.016,4.01759874629963e-05
0.026,0.014,0.016,-2.30648621773683e-05
0.028,0.014,0.016,-3.09406277035244e-05
0.03,0.014,0.016,1.60320764007142e-05
0.002,0.016,0.016,-7.95078146449755e-06
0,0.016,0.016,5.14310512548075e-05
0.004,0.016,0.016,4.32939085388126e-05
0.006,0.016,0.016,2.00352398266491e-05
0.008,0.016,0.016,2.38003271103729e-06
0.01,0.016,0.016,-5.66347254368379e-05
0.012,0.016,0.016,3.03281282822853e-05
0.014,0.016,0.016,3.0799507096692e-05
0.016,0.016,0.016,-9.98721588934713e-06
0.018,0.016,0.016,1.38168208321343e-06
0.02,0.016,0.016,6.65511587846384e-05
0.022,0.016,0.016,-4.4152369344146e-06
0.024,0.016,0.016,-2.29963751555158e-05
0.026,0.016,0.016,-2.94255893822067e-05
0.028,0.016,0.016,2.62299872286954e-05
0.03,0.016,0.016,3.27064610754662e-05
0.002,0.018,0.016,9.80910919950626e-06
0,0.018,0.016,8.58184134911735e-06
0.004,0.018,0.016,8.09894922079764e-05
0.006,0.018,0.016,-1.52989567516288e-05
0.008,0.018,0.016,-3.18316988262132e-05
0.01,0.018,0.016,-3.06872894352225e-05
0.012,0.018,0.016,2.20724227411291e-05
0.014,0.018,0.016,4.12129266994495e-05
0.016,0.018,0.016,-1.15955422516059e-05
0.018,0.018,0.016,-2.6758821562438e-05
0.02,0.018,0.016,9.08247644740374e-05
0.022,0.018,0.016,-8.91595744270634e-05
0.024,0.018,0.016,-6.05596207633528e-05
0.026,0.018,0.016,-3.42812507540437e-05
0.028,0.018,0.016,-4.86851955687028e-05
0.03,0.018,0.016,-2.97655064282507e-05
0.002,0.02,0.016,3.38867735041943e-05
0,0.02,0.016,-1.74360500786461e-05
0.004,0.02,0.016,2.43231428701158e-06
0.006,0.02,0.016,-2.64954339008446e-05
0.008,0.02,0.016,-3.59034502573773e-05
0.01,0.02,0.016,3.28208340963365e-07
0.012,0.02,0.016,8.27229891287706e-05
0.014,0.02,0.016,-6.11349882446129e-05
0.016,0.02,0.016,-2.03522431413989e-05
0.018,0.02,0.016,2.57609451731972e-05
0.02,0.02,0.016,4.24711426164973e-05
0.022,0.02,0.016,1.2727368204988e-05
0.024,0.02,0.016,-2.65580879711615e-06
0.026,0.02,0.016,1.97457215156747e-05
0.028,0.02,0.016,1.30861162288349e-05
0.03,0.02,0.016,2.03562779175614e-06
