id,ur,x,y,z
0,-1.7092642469204e-06,0.015,0.0005,0
0.0005,-3.5383793032684e-06,0.015,0.001,0
0.001,-5.204039221051e-06,0.015,0.0015,0
0.0015,-6.620033741557e-06,0.015,0.002,0
0.002,-7.7085490995776e-06,0.015,0.0025,0
0.0025,-8.4038492105193e-06,0.015,0.003,0
0.003,-8.6559856343402e-06,0.015,0.0035,0
0.0035,-8.4343968445184e-06,0.015,0.004,0
0.004,-7.731225507225e-06,0.015,0.0045,0
0.0045,-6.5641836819855e-06,0.015,0.005,0
0.005,-4.9788619595504e-06,0.015,0.0055,0
0.0055,-3.0505470371641e-06,0.015,0.006,0
0.006,-8.8633291098719e-07,0.015,0.0065,0
0.0065,1.3715876717275e-06,0.015,0.007,0
0.007,3.507764655525e-06,0.015,0.0075,0
0.0075,5.3110754631866e-06,0.015,0.008,0
0.008,6.3199578235493e-06,0.015,0.0085,0
0.0085,7.0550849832724e-06,0.015,0.009,0
0.009,7.2620778300135e-06,0.015,0.0095,0
0.0095,7.4801161763684e-06,0.015,0.01,0
0.01,7.6879970365913e-06,0.015,0.0105,0
0.0105,7.8075648633347e-06,0.015,0.011,0
0.011,7.7692127438545e-06,0.015,0.0115,0
0.0115,7.5392773728059e-06,0.015,0.012,0
0.012,7.3382887949261e-06,0.015,0.0125,0
0.0125,6.9471396859803e-06,0.015,0.013,0
0.013,6.2072704685939e-06,0.015,0.0135,0
0.0135,5.2369641532545e-06,0.015,0.014,0
0.014,3.9403751256845e-06,0.015,0.0145,0
0.0145,2.3354281511611e-06,0.015,0.015,0
0.015,4.8401881657649e-07,0.015,0.0155,0
0.0155,-1.7036245037021e-06,0.015,0.016,0
0.016,-3.7123394968281e-06,0.015,0.0165,0
0.0165,-5.8673964867373e-06,0.015,0.017,0
0.017,-7.5866580414486e-06,0.015,0.0175,0
0.0175,-9.2003668879369e-06,0.015,0.018,0
0.018,-1.0626625266109e-05,0.015,0.0185,0
0.0185,-1.1751072337838e-05,0.015,0.019,0
0.019,-1.2644887479996e-05,0.015,0.0195,0
0.0195,-1.309843529631e-05,0.015,0.02,0
