id,ur,x,y,z
0,1.2385842816341e-06,0.015,0.0005,0
0.0005,2.256612737226e-06,0.015,0.001,0
0.001,3.0116949320617e-06,0.015,0.0015,0
0.0015,3.408272866103e-06,0.015,0.002,0
0.002,3.3884427374894e-06,0.015,0.0025,0
0.0025,2.9392879638e-06,0.015,0.003,0
0.003,2.0960104905284e-06,0.015,0.0035,0
0.0035,9.4032466083846e-07,0.015,0.004,0
0.004,-4.0607665524212e-07,0.015,0.0045,0
0.0045,-1.7928008514539e-06,0.015,0.005,0
0.005,-3.0562417212338e-06,0.015,0.0055,0
0.0055,-4.0384566501383e-06,0.015,0.006,0
0.006,-4.6088196472191e-06,0.015,0.0065,0
0.0065,-4.6876453243731e-06,0.015,0.007,0
0.007,-4.2976859450645e-06,0.015,0.0075,0
0.0075,-3.5286403626426e-06,0.015,0.008,0
0.008,-2.8204783151038e-06,0.015,0.0085,0
0.0085,-1.8596467061395e-06,0.015,0.009,0
0.009,-1.4056309392125e-06,0.015,0.0095,0
0.0095,-8.0342368010936e-07,0.015,0.01,0
0.01,2.8221029490676e-08,0.015,0.0105,0
0.0105,8.6707710616337e-07,0.015,0.011,0
0.011,1.8461166197783e-06,0.015,0.0115,0
0.0115,2.6755610309199e-06,0.015,0.012,0
0.012,3.7662622533852e-06,0.015,0.0125,0
0.0125,4.6790319645107e-06,0.015,0.013,0
0.013,5.5946920530696e-06,0.015,0.0135,0
0.0135,6.2522701204592e-06,0.015,0.014,0
0.014,6.5548308445384e-06,0.015,0.0145,0
0.0145,6.389739141645e-06,0.015,0.015,0
0.015,5.4916037004953e-06,0.015,0.0155,0
0.0155,3.8662534488562e-06,0.015,0.016,0
0.016,1.657706267239e-06,0.015,0.0165,0
0.0165,-1.1291163570342e-06,0.015,0.017,0
0.017,-3.879760163382e-06,0.015,0.0175,0
0.0175,-6.7994309384384e-06,0.015,0.018,0
0.018,-9.8113215594685e-06,0.015,0.0185,0
0.0185,-1.2686741172411e-05,0.015,0.019,0
0.019,-1.549625034476e-05,0.015,0.0195,0
0.0195,-1.7818728129505e-05,0.015,0.02,0
