id,ui,x,y,z
0,1.2843058117751e-07,0.015,0.0005,0
0.0005,4.2507070902591e-07,0.015,0.001,0
0.001,7.5101240962663e-07,0.015,0.0015,0
0.0015,1.0944743024893e-06,0.015,0.002,0
0.002,1.4281180688595e-06,0.015,0.0025,0
0.0025,1.7098380958051e-06,0.015,0.003,0
0.003,1.8869323721111e-06,0.015,0.0035,0
0.0035,1.9033685091235e-06,0.015,0.004,0
0.004,1.7093582443772e-06,0.015,0.0045,0
0.0045,1.2720331022857e-06,0.015,0.005,0
0.005,5.8573508092845e-07,0.015,0.0055,0
0.0055,-3.1966253716743e-07,0.015,0.006,0
0.006,-1.3737441136852e-06,0.015,0.0065,0
0.0065,-2.4650572224653e-06,0.015,0.007,0
0.007,-3.4335273149075e-06,0.015,0.0075,0
0.0075,-4.1183380841567e-06,0.015,0.008,0
0.008,-4.4580926561019e-06,0.015,0.0085,0
0.0085,-4.5297067338928e-06,0.015,0.009,0
0.009,-4.4594053415764e-06,0.015,0.0095,0
0.0095,-4.3276215693817e-06,0.015,0.01,0
0.01,-4.0424410987693e-06,0.015,0.0105,0
0.0105,-3.6511535596333e-06,0.015,0.011,0
0.011,-2.9467249868985e-06,0.015,0.0115,0
0.0115,-2.0691369207078e-06,0.015,0.012,0
0.012,-1.0795093154099e-06,0.015,0.0125,0
0.0125,1.1468537416751e-07,0.015,0.013,0
0.013,1.8828103267367e-06,0.015,0.0135,0
0.0135,3.8806736287705e-06,0.015,0.014,0
0.014,6.2075639589277e-06,0.015,0.0145,0
0.0145,8.7628271948125e-06,0.015,0.015,0
0.015,1.11997507538e-05,0.015,0.0155,0
0.0155,1.3643979713328e-05,0.015,0.016,0
0.016,1.5161138965934e-05,0.015,0.0165,0
0.0165,1.6335220651836e-05,0.015,0.017,0
0.017,1.6506957208099e-05,0.015,0.0175,0
0.0175,1.619399842796e-05,0.015,0.018,0
0.018,1.524053408261e-05,0.015,0.0185,0
0.0185,1.3649804479057e-05,0.015,0.019,0
0.019,1.1510959284023e-05,0.015,0.0195,0
0.0195,8.884017327488e-06,0.015,0.02,0
