id,u,x,y,z
0,0,0,0,0
1,0.0099996703252835,0.01,0,0
2,0.009999670216194,0.01,0.01,0
3,0,0,0.01,0
4,0.019999340391285,0.02,0,0
5,0.019999340889298,0.02,0.01,0
6,0.029999011216973,0.03,0,0
7,0.029999012163948,0.03,0.01,0
8,0.039998683372821,0.04,0,0
9,0.039998684241245,0.04,0.01,0
10,0.049998356149193,0.05,0,0
11,0.049998356475333,0.05,0.01,0
12,0.059998028288438,0.06,0,0
13,0.059998027776477,0.06,0.01,0
14,0.069997698468145,0.07,0,0
15,0.069997697083487,0.07,0.01,0
16,0.079997365790629,0.08,0,0
17,0.079997363736138,0.08,0.01,0
18,0.08999703002838,0.09,0,0
19,0.089997027628922,0.09,0.01,0
20,0.099996691627666,0.1,0,0
21,0.099996689203054,0.1,0.01,0
22,0.10999635151569,0.11,0,0
23,0.10999634932733,0.11,0.01,0
24,0.11999601086335,0.12,0,0
25,0.11999600913939,0.12,0.01,0
26,0.12999567092078,0.13,0,0
27,0.12999566988038,0.13,0.01,0
28,0.13999533291579,0.14,0,0
29,0.13999533270241,0.14,0.01,0
30,0.14999499789043,0.15,0,0
31,0.14999499842114,0.15,0.01,0
32,0.15999466639724,0.16,0,0
33,0.15999466723911,0.16,0.01,0
34,0.16999433815491,0.17,0,0
35,0.16999433855746,0.17,0.01,0
36,0.17999401187496,0.18,0,0
37,0.17999401103578,0.18,0.01,0
38,0.18999368543455,0.19,0,0
39,0.1899936829383,0.19,0.01,0
40,0.19999335650796,0.2,0,0
41,0.19999335264309,0.2,0.01,0
42,0.20999302357153,0.21,0,0
43,0.20999301918723,0.21,0.01,0
44,0.21999268673331,0.22,0,0
45,0.21999268271005,0.22,0.01,0
46,0.22999234764769,0.23,0,0
47,0.22999234447064,0.23,0.01,0
48,0.23999200847924,0.24,0,0
49,0.23999200618948,0.24,0.01,0
50,0.24999167078389,0.25,0,0
51,0.24999166908837,0.25,0.01,0
52,0.25999133502454,0.26,0,0
53,0.25999133338368,0.26,0.01,0
54,0.26999100057618,0.27,0,0
55,0.26999099842474,0.27,0.01,0
56,0.27999066591746,0.28,0,0
57,0.27999066300684,0.28,0.01,0
58,0.28999032916162,0.29,0,0
59,0.28999032563707,0.29,0.01,0
60,0.29998998887699,0.3,0,0
61,0.29998998498269,0.3,0.01,0
62,0.30998964450719,0.31,0,0
63,0.30998964037737,0.31,0.01,0
64,0.31998929602475,0.32,0,0
65,0.31998929183116,0.32,0.01,0
66,0.3299889434609,0.33,0,0
67,0.32998893952767,0.33,0.01,0
68,0.33998858695385,0.34,0,0
69,0.33998858348925,0.34,0.01,0
70,0.34998822693772,0.35,0,0
71,0.34998822371858,0.35,0.01,0
72,0.35998786382917,0.36,0,0
73,0.359987860331,0.36,0.01,0
74,0.36998749749222,0.37,0,0
75,0.36998749333325,0.37,0.01,0
76,0.3799871272593,0.38,0,0
77,0.3799871224502,0.38,0.01,0
78,0.38998675255889,0.39,0,0
79,0.3899867474198,0.39,0.01,0
80,0.39998637349251,0.4,0,0
81,0.39998636848433,0.4,0.01,0
82,0.40998599099431,0.41,0,0
83,0.40998598658657,0.41,0.01,0
84,0.41998560672282,0.42,0,0
85,0.41998560324751,0.42,0.01,0
86,0.42998522277622,0.43,0,0
87,0.42998522032737,0.43,0.01,0
88,0.43998484117714,0.44,0,0
89,0.43998483963955,0.44,0.01,0
90,0.44998446329755,0.45,0,0
91,0.44998446240927,0.45,0.01,0
92,0.45998408952398,0.46,0,0
93,0.45998408888197,0.46,0.01,0
94,0.46998371924851,0.47,0,0
95,0.46998371834537,0.47,0.01,0
96,0.47998335111706,0.48,0,0
97,0.47998334948695,0.48,0.01,0
98,0.48998298346118,0.49,0,0
99,0.48998298086364,0.49,0.01,0
100,0.49998261475693,0.5,0,0
101,0.49998261126666,0.5,0.01,0
102,0.50998224393102,0.51,0,0
103,0.50998223981449,0.51,0.01,0
104,0.51998187045844,0.52,0,0
105,0.51998186587226,0.52,0.01,0
106,0.52998149424157,0.53,0,0
107,0.52998148908483,0.53,0.01,0
108,0.53998111536523,0.54,0,0
109,0.53998110955887,0.54,0.01,0
110,0.54998073410413,0.55,0,0
111,0.54998072800438,0.55,0.01,0
112,0.55998035139346,0.56,0,0
113,0.55998034580229,0.56,0.01,0
114,0.56997996925237,0.57,0,0
115,0.56997996496853,0.57,0.01,0
116,0.57997959051614,0.58,0,0
117,0.57997958779339,0.58,0.01,0
118,0.58997921796871,0.59,0,0
119,0.58997921623549,0.59,0.01,0
120,0.59997885336565,0.6,0,0
121,0.59997885153859,0.6,0.01,0
122,0.60997849671167,0.61,0,0
123,0.60997849412134,0.61,0.01,0
124,0.61997814637343,0.62,0,0
125,0.61997814343175,0.62,0.01,0
126,0.62997780046073,0.63,0,0
127,0.62997779809207,0.63,0.01,0
128,0.63997745841459,0.64,0,0
129,0.63997745677544,0.64,0.01,0
130,0.64997712082905,0.65,0,0
131,0.64997711896974,0.65,0.01,0
132,0.65997678746945,0.66,0,0
133,0.65997678440542,0.66,0.01,0
134,0.66997645600315,0.67,0,0
135,0.66997645169443,0.67,0.01,0
136,0.67997612308177,0.68,0,0
137,0.67997611803024,0.68,0.01,0
138,0.68997578615476,0.69,0,0
139,0.68997578043012,0.69,0.01,0
140,0.69997544372545,0.7,0,0
141,0.69997543687697,0.7,0.01,0
142,0.70997509444281,0.71,0,0
143,0.70997508615745,0.71,0.01,0
144,0.7199747369467,0.72,0,0
145,0.71997472740703,0.72,0.01,0
146,0.72997437069757,0.73,0,0
147,0.72997436044145,0.73,0.01,0
148,0.73997399649357,0.74,0,0
149,0.73997398619915,0.74,0.01,0
150,0.74997361630359,0.75,0,0
151,0.74997360658452,0.75,0.01,0
152,0.75997323298646,0.76,0,0
153,0.75997322416767,0.76,0.01,0
154,0.76997284999741,0.77,0,0
155,0.76997284215257,0.77,0.01,0
156,0.77997247094083,0.78,0,0
157,0.77997246419802,0.78,0.01,0
158,0.78997209921654,0.79,0,0
159,0.78997209382298,0.79,0.01,0
160,0.79997173791151,0.8,0,0
161,0.79997173392899,0.8,0.01,0
162,0.80997138960362,0.81,0,0
163,0.80997138673932,0.81,0.01,0
164,0.81997105620749,0.82,0,0
165,0.81997105388306,0.82,0.01,0
166,0.82997073891129,0.83,0,0
167,0.82997073650141,0.83,0.01,0
168,0.83997043805323,0.84,0,0
169,0.83997043552987,0.84,0.01,0
170,0.84997015344086,0.85,0,0
171,0.849970151575,0.85,0.01,0
172,0.8599698852254,0.86,0,0
173,0.85996988472483,0.86,0.01,0
174,0.86996963484347,0.87,0,0
175,0.8699696353637,0.87,0.01,0
176,0.87996940396262,0.88,0,0
177,0.87996940439472,0.88,0.01,0
178,0.88996919289583,0.89,0,0
179,0.88996919277739,0.89,0.01,0
180,0.89996900076917,0.9,0,0
181,0.89996900076432,0.9,0.01,0
182,0.90996882717445,0.91,0,0
183,0.90996882795906,0.91,0.01,0
184,0.9199686728161,0.92,0,0
185,0.91996867408742,0.92,0.01,0
186,0.92996853733652,0.93,0,0
187,0.92996853890703,0.93,0.01,0
188,0.93996842093239,0.94,0,0
189,0.93996842176808,0.94,0.01,0
190,0.94996832301321,0.95,0,0
191,0.94996832107056,0.95,0.01,0
192,0.95996824151083,0.96,0,0
193,0.95996823754038,0.96,0.01,0
194,0.96996817232406,0.97,0,0
195,0.96996817025084,0.97,0.01,0
196,0.97996811875517,0.98,0,0
197,0.97996811832519,0.98,0.01,0
198,0.98996808024658,0.99,0,0
199,0.98996808268191,0.99,0.01,0
200,0.99996805855573,1,0,0
201,0.99996807250444,1,0.01,0
202,0.0099996695749322,0.01,0.02,0
203,0,0,0.02,0
204,0.019999340548754,0.02,0.02,0
205,0.029999012677012,0.03,0.02,0
206,0.039998685692805,0.04,0.02,0
207,0.04999835838261,0.05,0.02,0
208,0.059998029410055,0.06,0.02,0
209,0.069997697819177,0.07,0.02,0
210,0.079997363283551,0.08,0.02,0
211,0.089997026029731,0.09,0.02,0
212,0.099996686670032,0.1,0.02,0
213,0.10999634609173,0.11,0.02,0
214,0.11999600544318,0.12,0.02,0
215,0.12999566608685,0.13,0.02,0
216,0.13999532937141,0.14,0.02,0
217,0.14999499618971,0.15,0.02,0
218,0.15999466646813,0.16,0.02,0
219,0.16999433894505,0.17,0.02,0
220,0.17999401160039,0.18,0.02,0
221,0.18999368252742,0.19,0.02,0
222,0.19999335054712,0.2,0.02,0
223,0.20999301534665,0.21,0.02,0
224,0.2199926775862,0.22,0.02,0
225,0.2299923389123,0.23,0.02,0
226,0.2399920011996,0.24,0.02,0
227,0.24999166531195,0.25,0.02,0
228,0.25999133074796,0.26,0.02,0
229,0.26999099642111,0.27,0.02,0
230,0.27999066122451,0.28,0.02,0
231,0.28999032383536,0.29,0.02,0
232,0.29998998285515,0.3,0.02,0
233,0.30998963767491,0.31,0.02,0
234,0.31998928875487,0.32,0.02,0
235,0.32998893666942,0.33,0.02,0
236,0.33998858125148,0.34,0.02,0
237,0.34998822195364,0.35,0.02,0
238,0.35998785855795,0.36,0.02,0
239,0.36998749108096,0.37,0.02,0
240,0.37998711936463,0.38,0.02,0
241,0.38998674331203,0.39,0.02,0
242,0.39998636341855,0.4,0.02,0
243,0.40998598081989,0.41,0.02,0
244,0.4199855970788,0.42,0.02,0
245,0.42998521412114,0.43,0.02,0
246,0.43998483393661,0.44,0.02,0
247,0.44998445781478,0.45,0.02,0
248,0.45998408572642,0.46,0.02,0
249,0.46998371637956,0.47,0.02,0
250,0.47998334789061,0.48,0.02,0
251,0.48998297873009,0.49,0.02,0
252,0.49998260824756,0.5,0.02,0
253,0.50998223619238,0.51,0.02,0
254,0.51998186190332,0.52,0.02,0
255,0.52998148441603,0.53,0.02,0
256,0.53998110338579,0.54,0.02,0
257,0.5499807197493,0.55,0.02,0
258,0.55998033576531,0.56,0.02,0
259,0.56997995443926,0.57,0.02,0
260,0.57997957819912,0.58,0.02,0
261,0.58997920788296,0.59,0.02,0
262,0.59997884352344,0.6,0.02,0
263,0.60997848575407,0.61,0.02,0
264,0.61997813529422,0.62,0.02,0
265,0.62997779124353,0.63,0.02,0
266,0.63997745131205,0.64,0.02,0
267,0.64997711405641,0.65,0.02,0
268,0.65997677961023,0.66,0.02,0
269,0.66997644747085,0.67,0.02,0
270,0.67997611476067,0.68,0.02,0
271,0.68997577772965,0.69,0.02,0
272,0.69997543389345,0.7,0.02,0
273,0.70997508194047,0.71,0.02,0
274,0.7199747210874,0.72,0.02,0
275,0.72997435164298,0.73,0.02,0
276,0.7399739753114,0.74,0.02,0
277,0.74997359422368,0.75,0.02,0
278,0.75997321039614,0.76,0.02,0
279,0.76997282668564,0.77,0.02,0
280,0.77997244730489,0.78,0.02,0
281,0.78997207646346,0.79,0.02,0
282,0.79997171705035,0.8,0.02,0
283,0.80997137072965,0.81,0.02,0
284,0.81997103818179,0.82,0.02,0
285,0.82997072011842,0.83,0.02,0
286,0.83997041842545,0.84,0.02,0
287,0.84997013475862,0.85,0.02,0
288,0.85996986920966,0.86,0.02,0
289,0.86996962101825,0.87,0.02,0
290,0.87996939013343,0.88,0.02,0
291,0.88996917755649,0.89,0.02,0
292,0.89996898497741,0.9,0.02,0
293,0.9099688131979,0.91,0.02,0
294,0.91996866109943,0.92,0.02,0
295,0.92996852754848,0.93,0.02,0
296,0.9399684099268,0.94,0.02,0
297,0.94996830742541,0.95,0.02,0
298,0.95996822050463,0.96,0.02,0
299,0.96996815276373,0.97,0.02,0
300,0.97996810057968,0.98,0.02,0
301,0.989968073051,0.99,0.02,0
302,0.99996805839351,1,0.02,0
303,0.0099996703358846,0.01,0.03,0
304,0,0,0.03,0
305,0.019999341587135,0.02,0.03,0
306,0.029999013356922,0.03,0.03,0
307,0.039998685284604,0.04,0.03,0
308,0.049998356525711,0.05,0.03,0
309,0.059998026173182,0.06,0.03,0
310,0.069997693538442,0.07,0.03,0
311,0.079997358309207,0.08,0.03,0
312,0.089997020633364,0.09,0.03,0
313,0.099996681133857,0.1,0.03,0
314,0.10999634080772,0.11,0.03,0
315,0.11999600085676,0.12,0.03,0
316,0.12999566247152,0.13,0.03,0
317,0.13999532659627,0.14,0.03,0
318,0.14999499365697,0.15,0.03,0
319,0.15999466325606,0.16,0.03,0
320,0.16999433407699,0.17,0.03,0
321,0.17999400439273,0.18,0.03,0
322,0.18999367293864,0.19,0.03,0
323,0.19999333927754,0.2,0.03,0
324,0.20999300348684,0.21,0.03,0
325,0.21999266603875,0.22,0.03,0
326,0.22999232805277,0.23,0.03,0
327,0.23999199090905,0.24,0.03,0
328,0.24999165514042,0.25,0.03,0
329,0.25999132009875,0.26,0.03,0
330,0.26999098485767,0.27,0.03,0
331,0.27999064877725,0.28,0.03,0
332,0.28999031095586,0.29,0.03,0
333,0.2999899700189,0.3,0.03,0
334,0.30998962509244,0.31,0.03,0
335,0.3199892764311,0.32,0.03,0
336,0.32998892452778,0.33,0.03,0
337,0.33998856910909,0.34,0.03,0
338,0.34998820954108,0.35,0.03,0
339,0.35998784568592,0.36,0.03,0
340,0.36998747774172,0.37,0.03,0
341,0.37998710571558,0.38,0.03,0
342,0.38998672971014,0.39,0.03,0
343,0.39998635044884,0.4,0.03,0
344,0.40998596913516,0.41,0.03,0
345,0.41998558712139,0.42,0.03,0
346,0.4299852058729,0.43,0.03,0
347,0.43998482676257,0.44,0.03,0
348,0.44998445060386,0.45,0.03,0
349,0.45998407742541,0.46,0.03,0
350,0.46998370650153,0.47,0.03,0
351,0.47998333654566,0.48,0.03,0
352,0.48998296628851,0.49,0.03,0
353,0.49998259496249,0.5,0.03,0
354,0.50998222196046,0.51,0.03,0
355,0.51998184639707,0.52,0.03,0
356,0.52998146762648,0.53,0.03,0
357,0.53998108597007,0.54,0.03,0
358,0.549980702683,0.55,0.03,0
359,0.55998031977604,0.56,0.03,0
360,0.56997993982778,0.57,0.03,0
361,0.57997956484353,0.58,0.03,0
362,0.5899791951724,0.59,0.03,0
363,0.59997883052697,0.6,0.03,0
364,0.60997847178684,0.61,0.03,0
365,0.61997812041591,0.62,0.03,0
366,0.62997777600152,0.63,0.03,0
367,0.63997743584809,0.64,0.03,0
368,0.64997709776367,0.65,0.03,0
369,0.65997676173441,0.66,0.03,0
370,0.66997642757485,0.67,0.03,0
371,0.67997609264419,0.68,0.03,0
372,0.68997575340652,0.69,0.03,0
373,0.69997540770638,0.7,0.03,0
374,0.70997505448044,0.71,0.03,0
375,0.71997469291483,0.72,0.03,0
376,0.72997432319314,0.73,0.03,0
377,0.73997394706989,0.74,0.03,0
378,0.74997356671116,0.75,0.03,0
379,0.75997318402632,0.76,0.03,0
380,0.76997280192444,0.77,0.03,0
381,0.77997242449777,0.78,0.03,0
382,0.78997205541631,0.79,0.03,0
383,0.79997169764472,0.8,0.03,0
384,0.80997135312116,0.81,0.03,0
385,0.81997102219336,0.82,0.03,0
386,0.82997070545835,0.83,0.03,0
387,0.83997040485006,0.84,0.03,0
388,0.84997012209335,0.85,0.03,0
389,0.85996985735141,0.86,0.03,0
390,0.86996960986778,0.87,0.03,0
391,0.87996937925244,0.88,0.03,0
392,0.88996916730496,0.89,0.03,0
393,0.89996897544174,0.9,0.03,0
394,0.9099688029362,0.91,0.03,0
395,0.91996865041011,0.92,0.03,0
396,0.92996851613983,0.93,0.03,0
397,0.93996839724519,0.94,0.03,0
398,0.94996829244854,0.95,0.03,0
399,0.95996820475264,0.96,0.03,0
400,0.96996813764856,0.97,0.03,0
401,0.97996808972455,0.98,0.03,0
402,0.98996806143159,0.99,0.03,0
403,0.99996805047584,1,0.03,0
404,0.0099996706901405,0.01,0.04,0
405,0,0,0.04,0
406,0.019999341748283,0.02,0.04,0
407,0.029999012906209,0.03,0.04,0
408,0.039998683766843,0.04,0.04,0
409,0.049998353692658,0.05,0.04,0
410,0.059998022064281,0.06,0.04,0
411,0.069997688382258,0.07,0.04,0
412,0.079997352383743,0.08,0.04,0
413,0.089997014216323,0.09,0.04,0
414,0.099996674561336,0.1,0.04,0
415,0.10999633450231,0.11,0.04,0
416,0.11999599519809,0.12,0.04,0
417,0.12999565753902,0.13,0.04,0
418,0.13999532199697,0.14,0.04,0
419,0.14999498862554,0.15,0.04,0
420,0.1599946569593,0.16,0.04,0
421,0.16999432589017,0.17,0.04,0
422,0.17999399404896,0.18,0.04,0
423,0.1899936606031,0.19,0.04,0
424,0.19999332550563,0.2,0.04,0
425,0.20999298897162,0.21,0.04,0
426,0.21999265128692,0.22,0.04,0
427,0.22999231327636,0.23,0.04,0
