id,integral_strain_stress,x,y,z
109,-7.2822970163619e-07,0.009,0.015,0.001
110,-6.9708660832304e-07,0.011,0.015,0.001
111,-7.2942377826775e-07,0.013,0.015,0.001
112,-8.0330136566452e-07,0.015,0.015,0.001
113,-7.7015278397158e-07,0.017,0.015,0.001
114,-4.8182244819521e-07,0.019,0.015,0.001
115,-3.1194226494517e-08,0.021,0.015,0.001
116,3.0593103654553e-07,0.023,0.015,0.001
117,3.4304740525494e-07,0.025,0.015,0.001
118,7.5422593540413e-08,0.027,0.015,0.001
119,-1.537499323296e-07,0.029,0.015,0.001
120,3.3192991740533e-07,0.001,0.017,0.001
121,-6.809663778349e-08,0.003,0.017,0.001
122,-5.2411432381773e-07,0.005,0.017,0.001
123,-7.3369702270202e-07,0.007,0.017,0.001
124,-7.2342492283993e-07,0.009,0.017,0.001
125,-6.3032557048472e-07,0.011,0.017,0.001
126,-6.7920536710742e-07,0.013,0.017,0.001
127,-7.8037980792822e-07,0.015,0.017,0.001
128,-8.1339576471107e-07,0.017,0.017,0.001
129,-5.5428863972639e-07,0.019,0.017,0.001
130,-8.5186836226545e-08,0.021,0.017,0.001
131,2.7302455848591e-07,0.023,0.017,0.001
132,3.0820135906974e-07,0.025,0.017,0.001
133,6.0990632731694e-08,0.027,0.017,0.001
134,-1.3597476364398e-07,0.029,0.017,0.001
135,3.4207763083407e-07,0.001,0.019,0.001
136,-2.6801637637289e-08,0.003,0.019,0.001
137,-4.8877613260974e-07,0.005,0.019,0.001
138,-7.6201486627612e-07,0.007,0.019,0.001
139,-7.2289772222501e-07,0.009,0.019,0.001
140,-6.4545966423987e-07,0.011,0.019,0.001
141,-6.7821330292832e-07,0.013,0.019,0.001
142,-8.1098564176853e-07,0.015,0.019,0.001
143,-8.2103464490365e-07,0.017,0.019,0.001
144,-5.3788302886681e-07,0.019,0.019,0.001
145,-4.9348475816581e-08,0.021,0.019,0.001
146,3.0816213430066e-07,0.023,0.019,0.001
147,2.7446686682773e-07,0.025,0.019,0.001
148,2.1697208975775e-08,0.027,0.019,0.001
149,-1.2619249490848e-07,0.029,0.019,0.001
150,3.2601764070113e-07,0.001,0.021,0.001
151,5.5630072610446e-08,0.003,0.021,0.001
152,-4.3071818617624e-07,0.005,0.021,0.001
153,-7.3612906791757e-07,0.007,0.021,0.001
154,-7.8046488572681e-07,0.009,0.021,0.001
155,-7.4930593460698e-07,0.011,0.021,0.001
156,-7.8323530736461e-07,0.013,0.021,0.001
157,-8.9419162072747e-07,0.015,0.021,0.001
158,-8.2615844749889e-07,0.017,0.021,0.001
159,-4.7926569216302e-07,0.019,0.021,0.001
160,4.214236112667e-08,0.021,0.021,0.001
161,3.5385428300708e-07,0.023,0.021,0.001
162,2.5078369585702e-07,0.025,0.021,0.001
163,-2.5108480518926e-08,0.027,0.021,0.001
164,-1.1761103327943e-07,0.029,0.021,0.001
165,2.6069166046726e-07,0.001,0.023,0.001
166,1.4176575503116e-07,0.003,0.023,0.001
167,-3.0433954027197e-07,0.005,0.023,0.001
168,-6.404738343428e-07,0.007,0.023,0.001
169,-8.3498126869354e-07,0.009,0.023,0.001
170,-8.3336705331056e-07,0.011,0.023,0.001
171,-9.0519580315863e-07,0.013,0.023,0.001
172,-9.2902836179714e-07,0.015,0.023,0.001
173,-7.7507346038923e-07,0.017,0.023,0.001
174,-3.1430284739854e-07,0.019,0.023,0.001
175,1.3432976476686e-07,0.021,0.023,0.001
176,3.8235554193953e-07,0.023,0.023,0.001
177,2.0841371694858e-07,0.025,0.023,0.001
178,-6.5933834011536e-08,0.027,0.023,0.001
179,-9.867404490685e-08,0.029,0.023,0.001
180,1.7199087772732e-07,0.001,0.025,0.001
181,2.0535850331314e-07,0.003,0.025,0.001
182,-1.0499452220778e-07,0.005,0.025,0.001
183,-4.6292562009813e-07,0.007,0.025,0.001
184,-6.9852523630273e-07,0.009,0.025,0.001
185,-8.0110766506429e-07,0.011,0.025,0.001
186,-8.4015334982441e-07,0.013,0.025,0.001
187,-7.4283145207601e-07,0.015,0.025,0.001
188,-5.0996025685758e-07,0.017,0.025,0.001
189,-5.8058054521277e-08,0.019,0.025,0.001
190,2.5612563835964e-07,0.021,0.025,0.001
191,3.4121893592507e-07,0.023,0.025,0.001
192,1.2562929539647e-07,0.025,0.025,0.001
193,-8.8644202585441e-08,0.027,0.025,0.001
194,-5.9729664501997e-08,0.029,0.025,0.001
195,6.4700149747609e-08,0.001,0.027,0.001
196,1.974733269531e-07,0.003,0.027,0.001
197,8.2645903785655e-08,0.005,0.027,0.001
198,-1.4665321934126e-07,0.007,0.027,0.001
